#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.421542    0.421542           0
           2    0.417856    0.419699   0.0013034
           3    0.426571     0.42199  0.00206246
           4    0.418443    0.421103  0.00172699
           5    0.421352    0.421153  0.00138231
           6    0.423126    0.421482  0.00119042
           7    0.419982    0.421268  0.00103947
           8    0.419388    0.421033 0.000935724
           9    0.420733    0.420999 0.000832345
          10    0.416801    0.420579 0.000848385
          11    0.419191    0.420453 0.000780595
          12    0.414164    0.419929 0.000873962
          13    0.421527    0.420052 0.000815334
          14    0.419351    0.420002 0.000758631
          15    0.423253    0.420219 0.000738363
          16    0.424263    0.420472 0.000734213
          17     0.42184    0.420552 0.000695421
          18    0.418624    0.420445  0.00066498
          19    0.423459    0.420604 0.000648627
          20    0.422785    0.420713   0.0006253
