#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.35268     7.35268           0
           2     7.49888     7.42578   0.0516898
           3     7.54605     7.46587   0.0475276
           4     7.34253     7.43503   0.0445388
           5     7.44813     7.43765   0.0357079
           6     7.38045     7.42812   0.0310031
           7     7.38443     7.42188   0.0271951
           8     7.37742     7.41632    0.024357
           9     7.44018     7.41897   0.0217945
          10     7.45104     7.42218   0.0198496
          11     7.45835     7.42547   0.0183155
          12     7.27721     7.41311   0.0205376
          13     7.32749     7.40653   0.0199859
          14     7.37198     7.40406   0.0187101
          15     7.33782     7.39964   0.0179763
          16     7.64515     7.41499   0.0224664
          17     7.33363      7.4102   0.0216485
          18     7.35599     7.40719   0.0206542
          19     7.41955     7.40784   0.0195774
          20     7.31712      7.4033   0.0191168
