#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         146     2.09124     2.09461  0.00610109
         147     2.08077     2.09452  0.00606032
         148     2.06981     2.09435  0.00602167
         149      2.0584     2.09411  0.00598608
         150     2.04655     2.09379  0.00595457
         151      2.0343      2.0934  0.00592815
         152     2.02168     2.09293  0.00590789
         153     2.00874     2.09238  0.00589485
         154     1.99551     2.09175  0.00589004
         155     1.98205     2.09104   0.0058944
         156     1.96843     2.09025  0.00590878
         157     1.95471     2.08939  0.00593387
         158     1.94096     2.08845  0.00597022
         159     1.92725     2.08744  0.00601814
         160     1.91367     2.08635  0.00607772
         161      1.9003     2.08519  0.00614885
         162     1.88724     2.08397  0.00623113
         163     1.87456     2.08269  0.00632397
         164     1.86235     2.08134  0.00642653
         165     1.85072     2.07995  0.00653781
         166     1.83975      2.0785  0.00665662
         167     1.82952     2.07701  0.00678166
         168     1.82012     2.07548  0.00691153
         169     1.81162     2.07392  0.00704478
         170     1.80409     2.07233  0.00717992
         171     1.79759     2.07072  0.00731549
         172     1.79217     2.06911  0.00745006
         173     1.78788     2.06748  0.00758227
         174     1.78474     2.06585  0.00771085
         175     1.78277     2.06424  0.00783463
         176     1.78197     2.06263  0.00795257
         177     1.78235     2.06105  0.00806375
         178     1.78389     2.05949   0.0081674
         179     1.78654     2.05797  0.00826289
         180     1.79029     2.05648  0.00834974
         181     1.79507     2.05504  0.00842759
         182     1.80082     2.05364  0.00849625
         183     1.80749     2.05229  0.00855563
         184       1.815       2.051  0.00860578
         185     1.82326     2.04977  0.00864686
         186     1.83221      2.0486  0.00867913
         187     1.84174      2.0475  0.00870293
         188     1.85179     2.04646  0.00871867
         189     1.86225     2.04548  0.00872685
         190     1.87306     2.04457  0.00872798
         191     1.88411     2.04373  0.00872262
         192     1.89534     2.04296  0.00871136
         193     1.90666     2.04226  0.00869481
         194     1.91801     2.04162  0.00867354
         195     1.92932     2.04104  0.00864816
         196     1.94053     2.04053  0.00861922
         197     1.95159     2.04007  0.00858728
         198     1.96244     2.03968  0.00855286
         199     1.97304     2.03935  0.00851644
         200     1.98336     2.03907  0.00847845
         201     1.99337     2.03884  0.00843932
         202     2.00303     2.03866   0.0083994
         203     2.01234     2.03853  0.00835903
         204     2.02128     2.03845  0.00831848
         205     2.02984     2.03841  0.00827801
         206     2.03801     2.03841  0.00823782
         207     2.04579     2.03844   0.0081981
         208      2.0532     2.03851    0.008159
         209     2.06023     2.03862  0.00812062
         210      2.0669     2.03875  0.00808307
         211     2.07322     2.03891  0.00804641
         212      2.0792      2.0391   0.0080107
         213     2.08486     2.03932  0.00797597
         214     2.09022     2.03956  0.00794224
         215      2.0953     2.03982  0.00790953
         216     2.10011     2.04009  0.00787784
         217     2.10468     2.04039  0.00784716
         218     2.10903     2.04071  0.00781748
         219     2.11318     2.04104  0.00778878
         220     2.11714     2.04138  0.00776106
         221     2.12094     2.04174  0.00773428
         222     2.12458     2.04212  0.00770844
         223     2.12809      2.0425  0.00768351
         224     2.13148      2.0429  0.00765947
         225     2.13477     2.04331   0.0076363
         226     2.13795     2.04373  0.00761399
         227     2.14105     2.04416  0.00759251
         228     2.14407     2.04459  0.00757184
         229     2.14701     2.04504  0.00755197
         230     2.14988      2.0455  0.00753288
         231     2.15267     2.04596  0.00751454
         232     2.15539     2.04643  0.00749694
         233     2.15803     2.04691  0.00748005
         234     2.16059      2.0474  0.00746384
         235     2.16306     2.04789  0.00744829
         236     2.16543     2.04839  0.00743336
         237      2.1677     2.04889  0.00741902
         238     2.16985      2.0494  0.00740524
         239     2.17187     2.04991  0.00739196
         240     2.17376     2.05043  0.00737915
         241     2.17548     2.05095  0.00736675
         242     2.17705     2.05147  0.00735472
         243     2.17843     2.05199  0.00734299
         244     2.17961     2.05251   0.0073315
         245     2.18059     2.05304  0.00732019
         246     2.18134     2.05356  0.00730899
         247     2.18186     2.05408  0.00729783
         248     2.18212     2.05459  0.00728664
         249     2.18213     2.05511  0.00727536
         250     2.18187     2.05561  0.00726391
         251     2.18132     2.05611  0.00725221
         252     2.18049     2.05661  0.00724021
         253     2.17936     2.05709  0.00722783
         254     2.17793     2.05757  0.00721502
         255      2.1762     2.05803  0.00720171
         256     2.17417     2.05849  0.00718785
         257     2.17184     2.05893   0.0071734
         258     2.16921     2.05936  0.00715832
         259     2.16629     2.05977  0.00714258
         260     2.16309     2.06017  0.00712616
         261     2.15962     2.06055  0.00710903
         262     2.15589     2.06091  0.00709121
         263     2.15192     2.06126  0.00707268
         264     2.14773     2.06158  0.00705347
         265     2.14335     2.06189   0.0070336
         266     2.13878     2.06218   0.0070131
         267     2.13407     2.06245    0.006992
         268     2.12923      2.0627  0.00697035
         269      2.1243     2.06293  0.00694819
         270     2.11931     2.06314   0.0069256
         271      2.1143     2.06333  0.00690262
         272     2.10929      2.0635  0.00687931
         273     2.10432     2.06365  0.00685573
         274     2.09943     2.06378  0.00683195
         275     2.09465     2.06389  0.00680803
         276     2.09002     2.06398  0.00678403
         277     2.08556     2.06406  0.00675998
         278     2.08132     2.06412  0.00673595
         279     2.07733     2.06417  0.00671197
         280     2.07361      2.0642  0.00668809
         281     2.07019     2.06423  0.00666432
         282      2.0671     2.06424   0.0066407
         283     2.06436     2.06424  0.00661723
         284     2.06199     2.06423  0.00659393
         285     2.06001     2.06421  0.00657081
         286     2.05842     2.06419  0.00654787
         287     2.05724     2.06417   0.0065251
         288     2.05648     2.06414   0.0065025
         289     2.05613     2.06411  0.00648006
         290      2.0562     2.06409  0.00645777
         291     2.05668     2.06406  0.00643563
         292     2.05756     2.06404  0.00641363
         293     2.05885     2.06402  0.00639176
         294     2.06052     2.06401  0.00637003
         295     2.06256       2.064  0.00634844
         296     2.06496     2.06401  0.00632699
         297     2.06769     2.06402   0.0063057
         298     2.07075     2.06404  0.00628458
         299      2.0741     2.06408  0.00626366
         300     2.07773     2.06412  0.00624294
         301     2.08161     2.06418  0.00622247
         302     2.08572     2.06425  0.00620228
         303     2.09005     2.06434  0.00618239
         304     2.09456     2.06444  0.00616285
         305     2.09925     2.06455   0.0061437
         306     2.10407     2.06468  0.00612498
         307     2.10902     2.06482  0.00610674
         308     2.11408     2.06498    0.006089
         309     2.11922     2.06516  0.00607183
         310     2.12442     2.06535  0.00605525
         311     2.12968     2.06556  0.00603931
         312     2.13497     2.06578  0.00602405
         313     2.14027     2.06602   0.0060095
         314     2.14557     2.06627   0.0059957
         315     2.15086     2.06654  0.00598268
         316     2.15612     2.06682  0.00597046
         317     2.16133     2.06712  0.00595906
         318      2.1665     2.06743  0.00594851
         319      2.1716     2.06776  0.00593882
         320     2.17662      2.0681     0.00593
         321     2.18156     2.06845  0.00592205
         322     2.18641     2.06882  0.00591498
         323     2.19114      2.0692  0.00590877
         324     2.19577     2.06959  0.00590344
         325     2.20028     2.06999  0.00589895
         326     2.20466      2.0704   0.0058953
         327      2.2089     2.07083  0.00589247
         328       2.213     2.07126  0.00589042
         329     2.21696      2.0717  0.00588914
         330     2.22077     2.07216   0.0058886
         331     2.22442     2.07262  0.00588875
         332     2.22791     2.07308  0.00588956
         333     2.23125     2.07356  0.00589099
         334     2.23441     2.07404  0.00589301
         335     2.23741     2.07453  0.00589556
         336     2.24024     2.07502  0.00589861
         337      2.2429     2.07552   0.0059021
         338     2.24539     2.07602    0.005906
         339     2.24772     2.07653  0.00591025
         340     2.24987     2.07704  0.00591482
         341     2.25185     2.07755  0.00591965
         342     2.25366     2.07807  0.00592469
         343     2.25532     2.07858  0.00592991
         344      2.2568      2.0791  0.00593526
         345     2.25813     2.07962   0.0059407
         346      2.2593     2.08014  0.00594619
         347     2.26032     2.08066  0.00595168
         348     2.26118     2.08118  0.00595714
         349      2.2619      2.0817  0.00596253
         350     2.26248     2.08221  0.00596783
         351     2.26292     2.08273  0.00597299
         352     2.26322     2.08324  0.00597799
         353      2.2634     2.08375  0.00598281
         354     2.26346     2.08426   0.0059874
         355      2.2634     2.08476  0.00599177
         356     2.26322     2.08526  0.00599587
         357     2.26294     2.08576  0.00599969
         358     2.26256     2.08625  0.00600322
         359     2.26207     2.08674  0.00600645
         360      2.2615     2.08723  0.00600935
         361     2.26084     2.08771  0.00601191
         362      2.2601     2.08819  0.00601414
         363     2.25928     2.08866  0.00601601
         364     2.25839     2.08912  0.00601753
         365     2.25744     2.08959  0.00601868
         366     2.25642     2.09004  0.00601947
         367     2.25535     2.09049   0.0060199
         368     2.25422     2.09094  0.00601996
         369     2.25304     2.09138  0.00601966
         370     2.25182     2.09181  0.00601898
         371     2.25055     2.09224  0.00601795
         372     2.24925     2.09266  0.00601655
         373      2.2479     2.09308   0.0060148
         374     2.24653     2.09349   0.0060127
         375     2.24512     2.09389  0.00601025
         376     2.24368     2.09429  0.00600745
         377     2.24221     2.09468  0.00600431
         378     2.24071     2.09507  0.00600084
         379     2.23918     2.09545  0.00599705
         380     2.23762     2.09582  0.00599292
         381     2.23603     2.09619  0.00598848
         382     2.23441     2.09655  0.00598373
         383     2.23276     2.09691  0.00597866
         384     2.23108     2.09726  0.00597329
         385     2.22936      2.0976  0.00596763
         386     2.22759     2.09794  0.00596166
         387     2.22579     2.09827   0.0059554
         388     2.22394     2.09859  0.00594885
         389     2.22204     2.09891  0.00594202
         390     2.22008     2.09922   0.0059349
         391     2.21806     2.09952   0.0059275
         392     2.21598     2.09982  0.00591982
         393     2.21383     2.10011  0.00591186
         394     2.21161     2.10039  0.00590363
         395      2.2093     2.10067  0.00589511
         396      2.2069     2.10094  0.00588633
         397     2.20442      2.1012  0.00587727
         398     2.20183     2.10145  0.00586794
         399     2.19913      2.1017  0.00585834
         400     2.19633     2.10193  0.00584847
         401      2.1934     2.10216  0.00583833
         402     2.19035     2.10238  0.00582792
         403     2.18717     2.10259  0.00581726
         404     2.18385     2.10279  0.00580634
         405     2.18039     2.10298  0.00579516
         406     2.17679     2.10316  0.00578374
         407     2.17303     2.10334  0.00577207
         408     2.16913      2.1035  0.00576018
         409     2.16507     2.10365  0.00574806
         410     2.16086     2.10379  0.00573574
         411     2.15649     2.10392  0.00572321
         412     2.15197     2.10403  0.00571051
         413     2.14731     2.10414  0.00569765
         414      2.1425     2.10423  0.00568464
         415     2.13756     2.10431  0.00567151
         416     2.13249     2.10438  0.00565828
         417      2.1273     2.10443  0.00564497
         418       2.122     2.10447  0.00563163
         419     2.11662      2.1045  0.00561826
         420     2.11116     2.10452  0.00560491
