#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -1.42252    -1.54877  0.00885518
         153    -1.40268    -1.54781  0.00884863
         154    -1.38249    -1.54674  0.00885605
         155    -1.36206    -1.54555  0.00887871
         156    -1.34147    -1.54424  0.00891765
         157    -1.32082    -1.54282  0.00897368
         158    -1.30024    -1.54128  0.00904727
         159    -1.27986    -1.53964  0.00913854
         160    -1.25979    -1.53789   0.0092473
         161    -1.24017    -1.53604  0.00937293
         162    -1.22112     -1.5341  0.00951452
         163    -1.20281    -1.53206  0.00967079
         164    -1.18536    -1.52995  0.00984017
         165    -1.16889    -1.52776   0.0100209
         166    -1.15354    -1.52551    0.010211
         167    -1.13942     -1.5232   0.0104082
         168    -1.12666    -1.52083   0.0106105
         169    -1.11536    -1.51844   0.0108156
         170    -1.10561    -1.51601   0.0110212
         171    -1.09748    -1.51356   0.0112253
         172    -1.09104     -1.5111   0.0114256
         173    -1.08632    -1.50865   0.0116204
         174    -1.08337     -1.5062   0.0118079
         175    -1.08217    -1.50378   0.0119864
         176    -1.08274    -1.50139   0.0121547
         177    -1.08505    -1.49904   0.0123115
         178    -1.08904    -1.49673    0.012456
         179    -1.09466    -1.49449   0.0125873
         180    -1.10183    -1.49231    0.012705
         181    -1.11048     -1.4902   0.0128087
         182    -1.12049    -1.48816   0.0128984
         183    -1.13175    -1.48622   0.0129741
         184    -1.14416    -1.48436   0.0130361
         185    -1.15759    -1.48259   0.0130848
         186     -1.1719    -1.48092   0.0131206
         187    -1.18698    -1.47935   0.0131443
         188    -1.20269    -1.47788   0.0131565
         189    -1.21891    -1.47651    0.013158
         190     -1.2355    -1.47524   0.0131498
         191    -1.25234    -1.47407   0.0131326
         192    -1.26933    -1.47301   0.0131074
         193    -1.28637    -1.47204   0.0130751
         194    -1.30335    -1.47117   0.0130366
         195    -1.32017    -1.47039   0.0129927
         196    -1.33676    -1.46971   0.0129443
         197    -1.35304    -1.46912   0.0128922
         198    -1.36895    -1.46861    0.012837
         199    -1.38444    -1.46819   0.0127794
         200    -1.39945    -1.46785   0.0127202
         201    -1.41394    -1.46758   0.0126597
         202     -1.4279    -1.46738   0.0125986
         203    -1.44132    -1.46725   0.0125371
         204    -1.45416    -1.46719   0.0124759
         205    -1.46642    -1.46719    0.012415
         206     -1.4781    -1.46724   0.0123548
         207    -1.48921    -1.46735   0.0122956
         208    -1.49975     -1.4675   0.0122375
         209    -1.50975     -1.4677   0.0121806
         210    -1.51922    -1.46795   0.0121251
         211    -1.52819    -1.46823    0.012071
         212    -1.53668    -1.46856   0.0120183
         213    -1.54472    -1.46892   0.0119672
         214    -1.55233     -1.4693   0.0119177
         215    -1.55955    -1.46972   0.0118696
         216    -1.56641    -1.47017   0.0118231
         217    -1.57292    -1.47065   0.0117781
         218    -1.57914    -1.47114   0.0117346
         219    -1.58508    -1.47166   0.0116925
         220    -1.59077    -1.47221   0.0116519
         221    -1.59624    -1.47277   0.0116127
         222    -1.60151    -1.47335   0.0115749
         223     -1.6066    -1.47394   0.0115384
         224    -1.61152    -1.47456   0.0115032
         225     -1.6163    -1.47519   0.0114693
         226    -1.62094    -1.47583   0.0114367
         227    -1.62547    -1.47649   0.0114053
         228    -1.62987    -1.47716   0.0113751
         229    -1.63417    -1.47785    0.011346
         230    -1.63836    -1.47855   0.0113181
         231    -1.64244    -1.47926   0.0112914
         232    -1.64639    -1.47998   0.0112657
