#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0829542   0.0829542           0
           2   0.0858928   0.0844235  0.00103895
           3   0.0906248   0.0864906  0.00182438
           4   0.0886364   0.0870271    0.001445
           5   0.0824654   0.0861147    0.001415
           6   0.0902466   0.0868034  0.00133627
           7   0.0901026   0.0872747  0.00122568
           8   0.0913266   0.0877812  0.00117246
           9    0.090096   0.0880384  0.00107002
          10   0.0859194   0.0878265 0.000983779
          11     0.08367   0.0874486 0.000964185
          12   0.0891478   0.0875902 0.000894173
          13   0.0903758   0.0878045 0.000850677
          14   0.0865008   0.0877114 0.000794995
          15    0.088663   0.0877748 0.000744522
          16   0.0878606   0.0877802 0.000698009
          17   0.0873834   0.0877568  0.00065734
          18   0.0868094   0.0877042 0.000622925
          19    0.090373   0.0878447 0.000605769
          20   0.0930802   0.0881064 0.000629506
