0 3.05344 0
1 3.12672 0.0732824
2 3.15328 0.0499581
3 3.12254 0.0468311
4 3.15919 0.0515662
5 3.15863 0.0421074
6 3.13146 0.0447713
7 3.16108 0.0487925
8 3.14977 0.0444929
9 3.13442 0.0426539
10 3.12919 0.0389344
11 3.12 0.0367118
12 3.11533 0.0340915
13 3.11645 0.0315827
14 3.12461 0.0305135
15 3.11659 0.0296487
16 3.11566 0.0278657
17 3.11253 0.0264581
18 3.10437 0.0263236
19 3.11175 0.0260413
20 3.11415 0.0248858
21 3.12474 0.0259865
22 3.13086 0.025572
23 3.13242 0.024533
24 3.13615 0.0238259
25 3.13935 0.0231136
26 3.13574 0.0225325
27 3.1328 0.0219109
28 3.13006 0.0213182
29 3.12929 0.02061
30 3.13157 0.0200641
31 3.13117 0.019431
32 3.13404 0.0190501
33 3.1345 0.018487
34 3.13862 0.0184177
35 3.13609 0.0180764
36 3.13563 0.0175872
37 3.14157 0.0181194
38 3.14356 0.0177609
39 3.14594 0.0174744
40 3.14618 0.0170446
41 3.14746 0.0166831
42 3.14487 0.0164952
43 3.14853 0.0165257
44 3.14911 0.0161647
45 3.14754 0.0158871
46 3.14579 0.0156439
47 3.14773 0.0154368
48 3.14853 0.01514
49 3.14868 0.0148349
50 3.14602 0.0147818
51 3.14424 0.0146037
52 3.14423 0.0143255
53 3.14773 0.0144873
54 3.14329 0.0148969
55 3.14453 0.0146811
56 3.14398 0.014432
57 3.14222 0.0142899
58 3.14152 0.0140632
59 3.138 0.0142675
60 3.14019 0.0142025
61 3.13769 0.0141938
62 3.13878 0.0140092
63 3.13915 0.0137934
64 3.14008 0.0136118
65 3.14023 0.0134047
66 3.1429 0.0134715
67 3.14202 0.0133013
68 3.14116 0.0131351
69 3.14016 0.0129848
70 3.13736 0.0131039
71 3.13841 0.0129631
72 3.137 0.0128609
73 3.13717 0.0126871
74 3.13742 0.0125192
75 3.1371 0.0123576
76 3.13694 0.0121971
77 3.1358 0.0120941
78 3.13589 0.0119404
79 3.13989 0.0124495
80 3.1389 0.0123351
81 3.13843 0.0121926
82 3.13941 0.0120842
83 3.1409 0.0120332
84 3.14426 0.0123551
85 3.14348 0.0122357
86 3.14292 0.0121072
87 3.14257 0.0119737
88 3.14426 0.0119572
89 3.14418 0.0118238
90 3.14397 0.0116951
91 3.14311 0.0115989
92 3.14435 0.0115406
93 3.14428 0.0114174
94 3.14427 0.0112966
95 3.14357 0.0112003
96 3.14567 0.0112814
97 3.14702 0.0112479
98 3.14668 0.0111391
99 3.1469 0.0110293
