#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.269784    0.269784           0
           2    0.268309    0.269047 0.000521673
           3    0.269696    0.269263 0.000390082
           4    0.269236    0.269256 0.000292621
           5    0.270439    0.269493 0.000315531
           6    0.271375    0.269806 0.000388743
           7    0.269654    0.269785 0.000333817
           8     0.26994    0.269804  0.00029265
           9    0.270728    0.269907 0.000277545
          10    0.271191    0.270035 0.000277907
          11      0.2723    0.270241 0.000319958
          12    0.270625    0.270273  0.00029489
          13    0.269974     0.27025 0.000273102
          14    0.272523    0.270412 0.000297962
          15    0.269939    0.270381  0.00027976
          16    0.270461    0.270386  0.00026232
          17    0.272241    0.270495 0.000268641
          18    0.270058    0.270471 0.000254809
          19    0.270247    0.270459 0.000241669
          20    0.269077     0.27039  0.00023926
