#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.1965      2.1965           0
           2     2.16931     2.18291  0.00961586
           3     2.16384     2.17655  0.00824754
           4      2.1796     2.17731  0.00622069
           5     2.20242     2.18233  0.00670363
           6     2.19758     2.18487  0.00604893
           7     2.19024     2.18564  0.00523321
           8      2.1652     2.18309  0.00516538
           9     2.17108     2.18175  0.00476059
          10     2.19209     2.18279   0.0043954
          11     2.19947      2.1843  0.00424945
          12     2.17613     2.18362  0.00394959
          13       2.216     2.18611  0.00436109
          14     2.19954     2.18707  0.00415366
          15     2.18267     2.18678  0.00388711
          16     2.18824     2.18687  0.00364525
          17     2.19717     2.18747   0.0034808
          18     2.15584     2.18572  0.00370456
          19     2.18564     2.18571  0.00350958
          20     2.20734     2.18679  0.00349672
