#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554607   -0.554607           0
           2   -0.553851   -0.554229 0.000267428
           3   -0.554324   -0.554261 0.000180166
           4    -0.55449   -0.554318 0.000143978
           5    -0.55443    -0.55434 0.000116894
           6    -0.55553   -0.554539  0.00020553
           7   -0.554659   -0.554556 0.000176888
           8   -0.553812   -0.554463 0.000177569
           9   -0.553866   -0.554397 0.000169758
          10   -0.556286   -0.554586  0.00023555
          11   -0.555043   -0.554627 0.000217779
          12   -0.554827   -0.554644 0.000200267
          13   -0.554361   -0.554622 0.000186039
          14    -0.55409   -0.554584 0.000176596
          15   -0.554174   -0.554557  0.00016693
          16   -0.554919   -0.554579 0.000158027
          17   -0.554106   -0.554552 0.000151168
          18   -0.554566   -0.554552 0.000142772
          19   -0.554998   -0.554576 0.000137168
          20   -0.555388   -0.554616 0.000136183
