#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462426   -0.462426           0
           2   -0.462306   -0.462366 4.25678e-05
           3   -0.461988    -0.46224 0.000106563
           4   -0.462228   -0.462237 7.99677e-05
           5   -0.462089   -0.462207 6.92428e-05
           6    -0.46198   -0.462169 6.73017e-05
           7   -0.462121   -0.462162 5.80432e-05
           8   -0.462464     -0.4622 6.18573e-05
           9   -0.462286    -0.46221 5.57217e-05
          10   -0.462004   -0.462189 5.38137e-05
          11    -0.46258   -0.462225 5.94865e-05
          12   -0.461782   -0.462188 6.49674e-05
          13   -0.461907   -0.462166 6.34535e-05
          14   -0.462268   -0.462173 5.93364e-05
          15   -0.462183   -0.462174 5.53842e-05
          16    -0.46143   -0.462128 6.87289e-05
          17      -0.462    -0.46212  6.5092e-05
          18   -0.461712   -0.462097 6.53053e-05
          19   -0.462592   -0.462123 6.68546e-05
          20   -0.461862    -0.46211 6.47776e-05
