#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.197281    0.197281           0
           2    0.196541    0.196911 0.000261728
           3    0.196718    0.196847 0.000182182
           4    0.196206    0.196687 0.000194686
           5    0.196531    0.196656 0.000158201
           6    0.196568    0.196641 0.000132506
           7    0.196571    0.196631 0.000113949
           8    0.196243    0.196582 0.000109558
           9    0.196243    0.196545 0.000103688
          10    0.196924    0.196583 0.000100008
          11    0.197126    0.196632 0.000102385
          12    0.196913    0.196655 9.64914e-05
          13    0.197063    0.196687 9.40135e-05
          14    0.196779    0.196693 8.75305e-05
          15    0.196382    0.196673  8.4126e-05
          16    0.197226    0.196707 8.56902e-05
          17    0.195291    0.196624 0.000114175
          18    0.196055    0.196592 0.000112115
          19    0.197422    0.196636 0.000114396
          20    0.197062    0.196657 0.000110643
