#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35372     1.35372           0
           2     1.36586     1.35979  0.00429037
           3     1.35329     1.35762  0.00336286
           4     1.36192      1.3587  0.00268804
           5     1.36205     1.35937  0.00223272
           6     1.35048     1.35789  0.00229974
           7     1.35076     1.35687  0.00218482
           8     1.36409     1.35777  0.00209005
           9     1.36161      1.3582  0.00190089
          10     1.35866     1.35825  0.00171136
          11     1.35847     1.35827  0.00155591
          12     1.35529     1.35802  0.00144594
          13     1.36616     1.35864  0.00146414
          14     1.36808     1.35932  0.00150683
          15     1.35935     1.35932  0.00140638
          16     1.36181     1.35948  0.00132705
          17     1.36981     1.36008   0.0013812
          18       1.358     1.35997  0.00130931
          19     1.35927     1.35993  0.00124091
          20     1.36911     1.36039  0.00126094
