#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.291735    0.291735           0
           2    0.292859    0.292297 0.000397477
           3    0.295438    0.293344 0.000894805
           4    0.292837    0.293217 0.000680015
           5     0.29516    0.293606 0.000645495
           6    0.291966    0.293332 0.000592957
           7    0.290051    0.292864 0.000668326
           8    0.293964    0.293001 0.000598776
           9    0.295148     0.29324 0.000577801
          10    0.292902    0.293206 0.000521005
          11    0.294536    0.293327 0.000487468
          12    0.292402     0.29325   0.0004529
          13    0.291521    0.293117 0.000437153
          14    0.294698     0.29323 0.000420257
          15    0.291376    0.293106 0.000410014
          16    0.294509    0.293194 0.000393654
          17    0.295551    0.293333  0.00039416
          18    0.293229    0.293327 0.000372303
          19    0.291928    0.293253 0.000359911
          20    0.293733    0.293277 0.000342714
