#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.53306     2.53306           0
           2     2.50689     2.51997  0.00925075
           3     2.55263     2.53086   0.0108183
           4     2.51835     2.52773  0.00855411
           5     2.54205     2.53059  0.00730657
           6     2.53059     2.53059  0.00608881
           7     2.50469     2.52689  0.00624277
           8     2.49686     2.52314  0.00649364
           9     2.52753     2.52363  0.00579041
          10     2.53085     2.52435  0.00525615
          11     2.52452     2.52437  0.00477834
          12     2.53804     2.52551  0.00451407
          13      2.5496     2.52736  0.00453127
          14     2.52671     2.52731  0.00420784
          15     2.51955     2.52679  0.00395904
          16     2.56074     2.52892  0.00424218
          17     2.54643     2.52995  0.00411583
          18     2.52369      2.5296  0.00390184
          19     2.52232     2.52922  0.00371522
          20     2.53805     2.52966  0.00355563
