#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.58273    -0.58273           0
           2    -0.58188   -0.582305  0.00030052
           3    -0.58251   -0.582373    0.000208
           4    -0.58301   -0.582533 0.000208155
           5    -0.58229   -0.582484 0.000172104
           6   -0.582867   -0.582548 0.000154818
           7    -0.58245   -0.582534 0.000133336
           8   -0.582365   -0.582513 0.000118331
           9    -0.58217   -0.582475 0.000111127
          10   -0.583964   -0.582624 0.000173107
          11   -0.582913    -0.58265 0.000159359
          12    -0.58283   -0.582665 0.000146784
          13   -0.582428   -0.582647 0.000136624
          14   -0.582255   -0.582619   0.0001297
          15   -0.582649   -0.582621  0.00012107
          16   -0.582773    -0.58263 0.000113875
          17    -0.58236   -0.582614 0.000108284
          18   -0.582586   -0.582613 0.000102279
          19   -0.582484   -0.582606 9.71203e-05
          20   -0.583136   -0.582633  9.5817e-05
