#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435409    0.435409           0
           2     0.43379      0.4346 0.000572326
           3    0.430124    0.433108  0.00127663
           4    0.432504    0.432957 0.000966343
           5    0.437884    0.433942  0.00117237
           6    0.432362    0.433679  0.00100615
           7    0.434924    0.433857 0.000877993
           8    0.426108    0.432888  0.00118791
           9    0.438536    0.433516  0.00121038
          10     0.42689    0.432853  0.00125769
          11    0.443014    0.433777  0.00144327
          12    0.432648    0.433683  0.00132606
          13    0.427987    0.433245  0.00129442
          14    0.426978    0.432797  0.00127702
          15    0.439248    0.433227  0.00126224
          16    0.440511    0.433682  0.00126278
          17    0.436108    0.433825  0.00119653
          18    0.428897    0.433551  0.00116095
          19    0.425366     0.43312  0.00117706
          20    0.426718      0.4328  0.00116092
