#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.5293     24.5293           0
           2     24.7517     24.6405   0.0786303
           3      24.766     24.6823   0.0625648
           4     24.4767     24.6309   0.0646737
           5     25.1655     24.7378    0.108724
           6     24.3459     24.6725    0.108467
           7     24.5157     24.6501   0.0952557
           8     24.1169     24.5834    0.104088
           9     24.8314      24.611    0.096098
          10     24.6247     24.6124    0.086498
          11     25.0569     24.6528    0.087566
          12     25.9986     24.7649    0.134061
          13     25.0232     24.7848    0.125212
          14     23.9883     24.7279    0.128546
          15     25.0232     24.7476    0.121474
          16     25.7446     24.8099    0.128876
          17     24.8415     24.8118    0.121309
          18      24.895     24.8164    0.114658
          19     25.1586     24.8344    0.110029
          20     24.0025     24.7928    0.112114
