#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.891651   -0.891651           0
           2   -0.892045   -0.891848   0.0001393
           3   -0.892592   -0.892096 0.000222721
           4    -0.89144   -0.891932 0.000219278
           5   -0.891758   -0.891897 0.000178166
           6    -0.89157   -0.891842  0.00015658
           7   -0.891357   -0.891773 0.000148787
           8   -0.890814   -0.891653 0.000171824
           9   -0.891984    -0.89169 0.000156625
          10   -0.891647   -0.891686 0.000141022
          11   -0.892197   -0.891732 0.000135642
          12   -0.894876   -0.891994 0.000279963
          13   -0.892769   -0.892054 0.000264694
          14   -0.891823   -0.892037   0.0002463
          15   -0.892601   -0.892075 0.000232733
          16   -0.893367   -0.892156 0.000231773
          17   -0.892104   -0.892152 0.000218159
          18   -0.893136   -0.892207 0.000212772
          19   -0.892774   -0.892237 0.000203657
          20   -0.891518   -0.892201 0.000196625
