# VELOCITY:     AVE_POFV:        ERROR:
     2.73415    0.285197   0.0175546
     2.92271    0.207362   0.0189141
     3.11127     0.17814   0.0142284
     3.29983    0.116661   0.0136572
     3.48839   0.0868427   0.0140185
     3.67696   0.0646544  0.00795706
     3.86552    0.038173  0.00538981
     4.05408   0.0214704  0.00794086
     4.24264  0.00791052  0.00405006
      4.4312  0.00444982  0.00237601
     4.61976   0.0019712  0.00141964
     4.80833 0.000841794  0.00077935
     4.99689 0.000266568 0.000246794
     5.18545 0.000184727 0.000171024
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00310178  0.00085631
    0.282843   0.0344899  0.00495777
    0.471405    0.106713   0.0131739
    0.659966     0.16377    0.012465
    0.848528    0.244553   0.0197008
     1.03709    0.332029   0.0241124
     1.22565    0.412598   0.0286539
     1.41421    0.529636   0.0266173
     1.60278    0.508474   0.0280249
     1.79134    0.504951   0.0195437
      1.9799    0.431603   0.0199923
     2.16846     0.36897   0.0209164
     2.35702    0.356993    0.017123
     2.54558    0.333609   0.0376766
     2.73415    0.267657   0.0224754
     2.92271    0.204852   0.0167155
     3.11127    0.178553   0.0124559
     3.29983    0.108178   0.0143449
     3.48839   0.0814216   0.0132731
     3.67696   0.0593962   0.0085246
     3.86552   0.0354638  0.00535386
     4.05408   0.0221298  0.00697558
     4.24264  0.00740866  0.00357476
      4.4312  0.00389359  0.00214312
     4.61976   0.0017248  0.00126339
     4.80833  0.00073657 0.000688998
     4.99689 0.000233247 0.000218183
     5.18545 0.000161636 0.000151197
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00282806  0.00080372
    0.282843   0.0322854  0.00487243
    0.471405    0.108001    0.011773
    0.659966    0.163189   0.0110935
    0.848528    0.246985   0.0176613
     1.03709    0.339146   0.0224589
     1.22565    0.424202   0.0277206
     1.41421    0.517577   0.0262497
     1.60278    0.502933   0.0254529
     1.79134    0.510714   0.0182019
      1.9799    0.443873   0.0212045
     2.16846    0.384984   0.0239505
     2.35702    0.357067   0.0152206
     2.54558    0.319016    0.036206
     2.73415    0.260311   0.0211446
     2.92271    0.194196   0.0179361
     3.11127    0.182644   0.0117245
     3.29983    0.106353   0.0128665
     3.48839   0.0796204   0.0119199
     3.67696   0.0577034  0.00774366
     3.86552   0.0338349  0.00500064
     4.05408   0.0213878  0.00623986
     4.24264  0.00757485  0.00318143
      4.4312  0.00395747  0.00190595
     4.61976  0.00190962  0.00113645
     4.80833 0.000654729 0.000617284
     4.99689 0.000207331 0.000195473
     5.18545 0.000143677  0.00013546
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00278587 0.000724455
    0.282843   0.0308852  0.00458197
    0.471405     0.10942   0.0106808
    0.659966    0.161027   0.0101926
    0.848528    0.249113   0.0160228
     1.03709    0.347499   0.0217109
     1.22565    0.426493    0.025043
     1.41421    0.509361   0.0248775
     1.60278    0.504066   0.0229328
     1.79134     0.51564   0.0170352
      1.9799    0.451427   0.0203852
     2.16846    0.385252   0.0215569
     2.35702    0.362343   0.0145843
     2.54558    0.321578   0.0326759
     2.73415    0.254557   0.0197976
     2.92271    0.182727   0.0194673
     3.11127    0.178106   0.0113965
     3.29983     0.10961   0.0119848
     3.48839   0.0791256   0.0107382
     3.67696   0.0570678  0.00699533
     3.86552   0.0317642  0.00491064
     4.05408   0.0203735  0.00569771
     4.24264  0.00689593  0.00293483
      4.4312  0.00356172  0.00175596
     4.61976  0.00171866  0.00103873
     4.80833 0.000589256 0.000559017
     4.99689 0.000186598 0.000177022
     5.18545 0.000129309 0.000122673
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00349685 0.000945135
    0.282843   0.0315549  0.00421409
