#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.143229    0.143229           0
           2    0.147095    0.145162   0.0013667
           3    0.143471    0.144598   0.0010207
           4    0.140004     0.14345  0.00125524
           5    0.144892    0.143738   0.0010368
           6    0.162421    0.146852  0.00297098
           7     0.14283    0.146277  0.00260152
           8    0.146761    0.146338  0.00227703
           9    0.153858    0.147173  0.00217192
          10    0.143559    0.146812  0.00198457
          11    0.145791    0.146719  0.00180633
          12    0.149313    0.146935  0.00166868
          13    0.148612    0.147064   0.0015453
          14    0.140083    0.146566  0.00151325
          15    0.148499    0.146694  0.00141784
          16    0.147984    0.146775  0.00133152
          17    0.136134    0.146149  0.00139258
          18    0.140682    0.145845  0.00134793
          19    0.147053    0.145909  0.00127848
          20    0.152172    0.146222  0.00125232
