#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.049499    0.049499           0
           2   0.0505396   0.0500193 0.000367908
           3   0.0539614   0.0513333  0.00110058
           4   0.0518756   0.0514689 0.000833744
           5   0.0514662   0.0514684 0.000666995
           6   0.0528992   0.0517068  0.00059694
           7   0.0477064   0.0511353 0.000736032
           8   0.0510276   0.0511219 0.000644151
           9   0.0530112   0.0513318 0.000605821
          10   0.0506112   0.0512597 0.000549507
          11   0.0513828   0.0512709 0.000499666
          12   0.0524642   0.0513704 0.000467817
          13   0.0495534   0.0512306 0.000452228
          14   0.0544394   0.0514598 0.000474466
          15   0.0510586   0.0514331 0.000443589
          16   0.0494818   0.0513111 0.000432303
          17   0.0472954   0.0510749 0.000466972
          18   0.0495234   0.0509887 0.000448913
          19   0.0520092   0.0510424 0.000428487
          20   0.0523798   0.0511093 0.000412248
