#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0360416   0.0360416           0
           2   0.0334216   0.0347316  0.00092631
           3    0.035546   0.0350031 0.000656114
           4     0.03354   0.0346373 0.000585224
           5   0.0339054   0.0344909 0.000486141
           6   0.0320896   0.0340907 0.000545528
           7   0.0334774   0.0340031 0.000474579
           8   0.0346616   0.0340854 0.000422334
           9    0.034268   0.0341057 0.000375895
          10   0.0339012   0.0340852 0.000338862
          11   0.0353214   0.0341976 0.000326158
          12   0.0339904   0.0341803 0.000299435
          13   0.0333594   0.0341172 0.000282983
          14   0.0337508    0.034091 0.000263977
          15    0.033667   0.0340628 0.000247887
          16    0.030151   0.0338183 0.000331729
          17   0.0348842    0.033881 0.000318086
          18   0.0354688   0.0339692 0.000312407
          19   0.0331698   0.0339271 0.000298784
          20   0.0338162   0.0339216 0.000283897
