# Epoch	Loss	Val_Loss
1	0.854927	0.640043
2	0.484786	0.373879
3	0.284054	0.228519
4	0.174548	0.146204
5	0.112789	0.098438
6	0.077202	0.070022
7	0.055944	0.052035
8	0.042568	0.040679
9	0.034042	0.032927
10	0.028173	0.027531
11	0.023987	0.023597
12	0.020903	0.020653
13	0.018557	0.018433
14	0.016746	0.016791
15	0.015348	0.015508
16	0.014234	0.014496
17	0.013353	0.013735
18	0.012652	0.013163
19	0.012096	0.012677
20	0.011644	0.012330
21	0.011289	0.011999
22	0.010984	0.011821
23	0.010750	0.011640
24	0.010556	0.011486
25	0.010404	0.011375
26	0.010282	0.011307
27	0.010187	0.011254
28	0.010107	0.011247
29	0.010046	0.011226
30	0.009991	0.011230
