# Epoch	Loss	Val_Loss
1	2.296478	1.738319
2	1.653960	1.272722
3	1.226838	0.962525
4	0.934730	0.743133
5	0.725349	0.582947
6	0.570563	0.461414
7	0.452493	0.368794
8	0.362284	0.296020
9	0.291084	0.238116
10	0.234646	0.192771
11	0.190086	0.155839
12	0.153949	0.126913
13	0.125612	0.103785
14	0.102816	0.085284
15	0.084681	0.070372
16	0.069935	0.058440
17	0.058168	0.048926
18	0.048682	0.041296
19	0.041067	0.035133
20	0.034843	0.030203
21	0.029916	0.026251
22	0.025952	0.023183
23	0.022801	0.020695
24	0.020264	0.018713
25	0.018223	0.017131
