# Epoch	Loss	Val_Loss
1	4.170416	3.300912
2	3.700581	2.926368
3	3.270966	2.599402
4	2.896474	2.320461
5	2.574136	2.089565
6	2.311508	1.889227
7	2.080029	1.716168
8	1.884052	1.555500
9	1.699755	1.407942
10	1.532390	1.284904
11	1.396013	1.167923
12	1.265360	1.065846
13	1.151170	0.973026
14	1.049192	0.887071
15	0.955371	0.808554
16	0.869501	0.739878
17	0.793146	0.677819
18	0.725397	0.619827
19	0.662578	0.563652
20	0.602014	0.515371
21	0.549035	0.472920
22	0.503600	0.430839
23	0.458667	0.394209
24	0.419460	0.360875
25	0.383302	0.328408
