#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.647008   -0.647008           0
           2   -0.646119   -0.646563 0.000314238
           3   -0.646598   -0.646575 0.000209711
           4   -0.646762   -0.646622 0.000162393
           5   -0.645945   -0.646486 0.000177534
           6   -0.646777   -0.646535 0.000154405
           7   -0.646233   -0.646492 0.000138225
           8   -0.645496   -0.646367 0.000167874
           9   -0.645748   -0.646298  0.00016271
          10   -0.647073   -0.646376 0.000163851
          11   -0.646238   -0.646363 0.000149431
          12   -0.646876   -0.646406 0.000142945
          13   -0.645185   -0.646312 0.000159849
          14     -0.6453    -0.64624 0.000163968
          15   -0.647389   -0.646316     0.00017
          16    -0.64619   -0.646309 0.000159559
          17   -0.646447   -0.646317 0.000150382
          18   -0.646388   -0.646321 0.000142079
          19   -0.646511   -0.646331 0.000134953
          20   -0.646026   -0.646315 0.000129064
