#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.343257    0.343257           0
           2    0.345011    0.344134 0.000620107
           3    0.343589    0.343952 0.000439266
           4    0.345662     0.34438 0.000495504
           5    0.343632     0.34423  0.00041835
           6    0.343533    0.344114   0.0003644
           7    0.343953    0.344091 0.000313072
           8     0.34628    0.344365 0.000374897
           9    0.343577    0.344277 0.000343295
          10    0.342294    0.344079 0.000361711
          11    0.343634    0.344038 0.000331077
          12    0.345627    0.344171 0.000328896
          13    0.344219    0.344175 0.000303617
          14      0.3445    0.344198 0.000282819
          15    0.346717    0.344366 0.000309841
          16    0.343664    0.344322 0.000293566
          17    0.346209    0.344433  0.00029654
          18    0.344641    0.344444 0.000280291
          19    0.341468    0.344288 0.000306208
          20     0.34545    0.344346 0.000296359
