#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.57174     3.57174           0
           2     3.59921     3.58547  0.00971336
           3     3.60259     3.59118  0.00797714
           4      3.5926     3.59153  0.00599077
           5      3.6325     3.59973  0.00875552
           6     3.61622     3.60248  0.00771589
           7     3.61094     3.60369  0.00670773
           8     3.50881     3.59183   0.0125509
           9     3.56499     3.58884   0.0115052
          10      3.5892     3.58888   0.0103547
          11     3.59044     3.58902  0.00941435
          12     3.58254     3.58848  0.00864528
          13     3.56384     3.58659  0.00818548
          14     3.50153     3.58051  0.00959413
          15     3.59066     3.58119  0.00897836
          16     3.57569     3.58084  0.00842377
          17     3.55825     3.57951  0.00803242
          18     3.53803     3.57721  0.00790985
          19     3.54199     3.57536  0.00770764
          20     3.58731     3.57595  0.00734541
