#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.440298    0.440298           0
           2    0.444336    0.442317  0.00142772
           3    0.432776    0.439137  0.00276567
           4    0.440438    0.439462   0.0020933
           5    0.433516    0.438273  0.00198388
           6    0.444192    0.439259  0.00188264
           7    0.434578     0.43859  0.00172841
           8     0.44679    0.439615  0.00179065
           9    0.444803    0.440192   0.0016819
          10    0.440868    0.440259  0.00151507
          11    0.444291    0.440626  0.00142098
          12    0.440726    0.440634  0.00130259
          13    0.439961    0.440582  0.00120341
          14    0.437842    0.440387  0.00113326
          15    0.442685     0.44054  0.00106802
          16    0.446806    0.440932  0.00107066
          17    0.442781     0.44104  0.00101319
          18    0.441699    0.441077 0.000957565
          19    0.445218    0.441295  0.00093164
          20    0.445416    0.441501 0.000907558
