#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.1747     15.1747           0
           2     15.0571     15.1159   0.0415719
           3     15.0458     15.0925   0.0336469
           4     14.8156     15.0233   0.0650565
           5     14.8032     14.9793   0.0652602
           6     15.2943     15.0318   0.0724874
           7      14.701     14.9845    0.075991
           8     15.6323     15.0655    0.100792
           9     15.4186     15.1047     0.09693
          10     15.6423     15.1585    0.101052
          11      15.311     15.1723   0.0928122
          12     15.2667     15.1802   0.0854102
          13     15.2238     15.1836   0.0789059
          14     15.1526     15.1813   0.0733007
          15     14.8397     15.1586   0.0718662
          16     15.7039     15.1926   0.0750222
          17     15.1706     15.1914   0.0706204
          18      15.732     15.2214   0.0728044
          19      15.277     15.2243   0.0690313
          20     15.1828     15.2222    0.065611
