#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.848056   -0.848056           0
           2   -0.848321   -0.848188 9.37624e-05
           3   -0.848743   -0.848373 0.000163374
           4   -0.847972   -0.848273 0.000150229
           5   -0.847266   -0.848071 0.000216564
           6   -0.848098   -0.848076 0.000180515
           7   -0.848415   -0.848124 0.000161112
           8   -0.847887   -0.848095  0.00014367
           9    -0.84864   -0.848155 0.000139907
          10   -0.849514   -0.848291  0.00018023
          11   -0.848027   -0.848267 0.000165434
          12   -0.848047   -0.848249 0.000152659
          13   -0.848334   -0.848255 0.000141057
          14   -0.848157   -0.848248 0.000131157
          15    -0.84771   -0.848212 0.000127221
          16   -0.849133    -0.84827 0.000131644
          17   -0.847985   -0.848253 0.000124961
          18   -0.850054   -0.848353 0.000152895
          19   -0.848164   -0.848343 0.000145172
          20   -0.848037   -0.848328 0.000138718
