#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.457477    0.457477           0
           2    0.432823     0.44515  0.00871643
           3    0.435528    0.441943  0.00637378
           4    0.453251     0.44477  0.00537079
           5    0.442327    0.444281   0.0043188
           6     0.46622    0.447938  0.00490858
           7    0.447854    0.447926  0.00420737
           8    0.453562     0.44863  0.00373997
           9    0.428362    0.446378  0.00394461
          10    0.471815    0.448922  0.00429266
          11     0.43967    0.448081  0.00398396
          12    0.454428     0.44861  0.00368691
          13    0.453123    0.448957  0.00341961
          14    0.437519     0.44814  0.00327149
          15    0.448168    0.448142   0.0030534
          16    0.428533    0.446916  0.00309877
          17    0.464255    0.447936  0.00307976
          18    0.449299    0.448012   0.0029096
          19    0.415302     0.44629  0.00322581
          20    0.420475    0.444999  0.00331272
