#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554358   -0.554358           0
           2     -0.5547   -0.554529 0.000120774
           3   -0.554095   -0.554384 0.000143041
           4    -0.55449   -0.554411  0.00010969
           5    -0.55502   -0.554533 0.000139972
           6   -0.554792   -0.554576 0.000123114
           7   -0.554845   -0.554614 0.000111359
           8   -0.554291   -0.554574 0.000104506
           9   -0.555085   -0.554631 0.000107209
          10   -0.554792   -0.554647 9.76945e-05
          11   -0.554666   -0.554649 8.88294e-05
          12   -0.554775   -0.554659 8.20513e-05
          13   -0.554004   -0.554609 8.98772e-05
          14   -0.553753   -0.554548 0.000102158
          15    -0.55484   -0.554567 9.71894e-05
          16   -0.554563   -0.554567 9.11153e-05
          17   -0.554548   -0.554566 8.57621e-05
          18   -0.554398   -0.554556 8.15049e-05
          19   -0.554346   -0.554545  7.7967e-05
          20   -0.554441    -0.55454 7.42437e-05
