#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.270292    0.270292           0
           2    0.271268     0.27078 0.000344892
           3    0.270173    0.270577 0.000283156
           4    0.271523    0.270814 0.000295012
           5    0.272368    0.271125 0.000364699
           6    0.270349    0.270995 0.000326035
           7     0.27225    0.271175 0.000324984
           8    0.269702    0.270991 0.000332418
           9    0.269396    0.270813  0.00033945
          10    0.271399    0.270872 0.000310516
          11    0.270112    0.270803 0.000289872
          12    0.270376    0.270767 0.000267894
          13    0.270579    0.270753 0.000247677
          14    0.270045    0.270702 0.000235085
          15     0.26989    0.270648 0.000225564
          16     0.26903    0.270547 0.000233032
          17    0.268852    0.270447 0.000239705
          18    0.270742    0.270464 0.000226947
          19    0.271163      0.2705 0.000217967
          20    0.270768    0.270514 0.000207478
