#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.110884    0.110884           0
           2    0.112876     0.11188  0.00070449
           3    0.113482    0.112414 0.000640903
           4     0.11207    0.112328 0.000486426
           5    0.104626    0.110787  0.00143173
           6    0.108104     0.11034  0.00126104
           7    0.118469    0.111501  0.00152451
           8    0.109953    0.111308  0.00134618
           9    0.111178    0.111293  0.00119668
          10    0.108703    0.111034  0.00110469
          11    0.111089    0.111039  0.00100427
          12     0.10737    0.110734 0.000966026
          13    0.110375    0.110706 0.000892111
          14    0.109895    0.110648 0.000830269
          15    0.109601    0.110578 0.000777848
          16    0.113044    0.110732 0.000744348
          17     0.10994    0.110686 0.000702019
          18    0.108295    0.110553 0.000675468
          19    0.114042    0.110737 0.000664405
          20    0.116083    0.111004 0.000682857
