#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.028926    0.028926           0
           2   0.0298528   0.0293894 0.000327673
           3   0.0328264   0.0305351 0.000960601
           4   0.0311686   0.0306934 0.000733392
           5   0.0327114    0.031097 0.000688869
           6   0.0288298   0.0307192 0.000669725
           7   0.0308518   0.0307381 0.000574318
           8   0.0312534   0.0308025 0.000506128
           9   0.0296772   0.0306775  0.00046508
          10    0.028393    0.030449 0.000471351
          11      0.0278   0.0302082 0.000486144
          12   0.0291436   0.0301195 0.000453655
          13    0.030294   0.0301329 0.000418957
          14   0.0310868   0.0302011 0.000394533
          15   0.0300564   0.0301914 0.000368349
          16   0.0289218   0.0301121 0.000353771
          17   0.0287814   0.0300338  0.00034151
          18   0.0315194   0.0301163 0.000332361
          19   0.0301778   0.0301196 0.000314884
          20   0.0315548   0.0301913 0.000307208
