#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.039719    0.039719           0
           2   0.0372542   0.0384866 0.000871438
           3   0.0382806   0.0384179 0.000583658
           4   0.0384118   0.0384164 0.000437746
           5   0.0368246    0.038098 0.000451354
           6    0.040562   0.0385087 0.000531043
           7   0.0396234   0.0386679  0.00047846
           8   0.0391812   0.0387321 0.000422932
           9    0.038666   0.0387248 0.000376004
          10   0.0400874    0.038861 0.000362254
          11   0.0404472   0.0390052 0.000356869
          12   0.0369926   0.0388375 0.000364417
          13    0.035967   0.0386167 0.000397694
          14   0.0340968   0.0382938 0.000482866
          15   0.0388722   0.0383324 0.000452212
          16   0.0358576   0.0381777 0.000449624
          17    0.037474   0.0381363 0.000425076
          18   0.0377374   0.0381142 0.000402038
          19    0.037851   0.0381003 0.000381117
          20   0.0393012   0.0381604 0.000366761
