#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
          74     1.29768      1.3941  0.00751425
          75     1.31343     1.39302  0.00749064
          76     1.40885     1.39323  0.00739497
          77     1.31948     1.39227  0.00736071
          78     1.47846     1.39338   0.0073488
          79     1.33817     1.39268  0.00728893
          80     1.31554     1.39172  0.00726131
          81     1.36428     1.39138  0.00717956
          82     1.42573      1.3918  0.00710422
          83     1.30937      1.3908  0.00708769
          84     1.37913     1.39066  0.00700467
          85     1.31664     1.38979   0.0069762
          86     1.37159     1.38958  0.00689829
          87     1.39313     1.38962  0.00681912
          88     1.38418     1.38956  0.00674191
          89     1.47266     1.39049   0.0067305
          90     1.40496     1.39065  0.00665764
          91      1.4693     1.39152  0.00664034
          92     1.37998     1.39139  0.00656935
          93     1.36856     1.39115  0.00650329
          94     1.32041      1.3904   0.0064775
          95      1.4436     1.39096  0.00643348
          96     1.45655     1.39164  0.00640264
          97     1.35592     1.39127  0.00634722
          98      1.3764     1.39112  0.00628427
          99     1.36307     1.39084  0.00622717
         100     1.39964     1.39092  0.00616552
         101     1.47164     1.39172  0.00615606
         102     1.39741     1.39178  0.00609596
         103     1.34841     1.39136   0.0060513
         104     1.34101     1.39087  0.00601245
         105      1.5254     1.39215  0.00609018
         106     1.38616      1.3921  0.00603298
         107     1.35768     1.39178  0.00598517
         108     1.37669     1.39164  0.00593138
         109      1.3706     1.39144   0.0058801
         110      1.3847     1.39138  0.00582697
         111     1.51667     1.39251  0.00588278
         112     1.39872     1.39257  0.00583052
         113     1.45574     1.39313  0.00580566
         114     1.48536     1.39393  0.00581084
         115     1.31886     1.39328  0.00579687
         116     1.32397     1.39268   0.0057776
         117     1.29895     1.39188   0.0057835
         118     1.29866     1.39109   0.0057882
         119     1.41542      1.3913  0.00574316
         120      1.3617     1.39105   0.0057006
         121     1.44504      1.3915  0.00567092
         122     1.40734     1.39163  0.00562593
         123     1.36332      1.3914  0.00558489
         124     1.42881      1.3917    0.005548
         125     1.29639     1.39094  0.00555576
         126     1.33627      1.3905  0.00552858
         127     1.48699     1.39126    0.005537
         128     1.47408     1.39191  0.00553142
         129     1.52604     1.39295  0.00558541
         130     1.42384     1.39319  0.00554749
         131      1.4336     1.39349  0.00551372
         132     1.40419     1.39358  0.00547254
         133     1.31161     1.39296  0.00546598
         134      1.4686     1.39352  0.00545426
         135     1.39535     1.39354  0.00541388
         136     1.43705     1.39386  0.00538351
         137      1.3787     1.39375  0.00534535
         138     1.54904     1.39487  0.00542378
         139     1.54026     1.39592  0.00548468
         140     1.32908     1.39544  0.00546625
         141     1.42022     1.39562   0.0054303
         142     1.47693     1.39619  0.00542217
         143     1.32478     1.39569  0.00540719
         144      1.4144     1.39582   0.0053712
         145     1.37935     1.39571  0.00533536
         146     1.32454     1.39522  0.00532104
         147     1.38292     1.39513   0.0052855
         148     1.43812     1.39543  0.00525776
         149     1.43519     1.39569  0.00522924
         150     1.25419     1.39475  0.00527878
         151     1.30429     1.39415   0.0052777
         152     1.40813     1.39424  0.00524378
         153     1.24641     1.39328  0.00529778
         154     1.31457     1.39276  0.00528797
         155     1.40362     1.39283  0.00525432
         156     1.33497     1.39246  0.00523371
         157      1.3638     1.39228  0.00520356
         158     1.45492     1.39268  0.00518571
         159     1.49915     1.39335  0.00519615
         160       1.419     1.39351  0.00516615
         161     1.41033     1.39361  0.00513512
         162     1.41378     1.39374  0.00510493
         163     1.30533     1.39319  0.00510234
         164     1.38086     1.39312  0.00507178
         165     1.44218     1.39342  0.00504975
         166     1.35347     1.39318  0.00502506
         167     1.48481     1.39372  0.00502484
         168     1.33171     1.39336  0.00500847
         169     1.20577     1.39225  0.00510035
         170     1.45674     1.39262  0.00508443
         171     1.37988     1.39255  0.00505525
         172     1.46159     1.39295  0.00504176
         173     1.34116     1.39265   0.0050215
         174     1.30794     1.39217  0.00501619
         175     1.35589     1.39196  0.00499181
         176     1.44216     1.39224  0.00497159
         177     1.53904     1.39307   0.0050122
         178     1.42744     1.39327  0.00498776
         179     1.24315     1.39243  0.00502991
         180     1.46261     1.39282  0.00501705
         181     1.37936     1.39274  0.00498989
         182     1.36333     1.39258  0.00496508
         183     1.39224     1.39258  0.00493795
         184     1.36913     1.39245  0.00491276
         185     1.44251     1.39272  0.00489365
         186     1.49996      1.3933  0.00490119
         187     1.34738     1.39305  0.00488113
         188      1.3933     1.39305  0.00485516
         189     1.40739     1.39313  0.00483007
         190      1.4074     1.39321  0.00480523
         191     1.45289     1.39352  0.00479022
         192     1.42348     1.39367  0.00476781
         193     1.32128      1.3933  0.00475784
         194     1.40116     1.39334  0.00473349
         195     1.38388     1.39329  0.00470946
         196     1.48219     1.39374  0.00470723
         197     1.40877     1.39382  0.00468395
         198     1.43495     1.39403   0.0046649
         199     1.33058     1.39371  0.00465234
         200     1.39744     1.39373  0.00462912
         201     1.40891      1.3938   0.0046067
         202     1.18473     1.39277  0.00469873
         203     1.35057     1.39256  0.00468018
         204      1.3219     1.39221  0.00467004
         205      1.4004     1.39225  0.00464743
         206     1.33613     1.39198  0.00463284
         207     1.35062     1.39178  0.00461477
         208     1.35673     1.39161  0.00459566
         209      1.3827     1.39157  0.00457387
         210     1.32504     1.39125  0.00456305
         211      1.3272     1.39095  0.00455151
         212     1.41785     1.39108  0.00453181
         213     1.35752     1.39092  0.00451327
         214     1.33548     1.39066  0.00449961
         215     1.51344     1.39123  0.00451478
         216     1.45775     1.39154  0.00450436
         217     1.35527     1.39137  0.00448671
         218     1.45437     1.39166  0.00447542
         219     1.38174     1.39162  0.00445522
         220     1.44631     1.39186  0.00444189
         221     1.42265       1.392  0.00442398
         222     1.32569     1.39171  0.00441413
         223     1.45796       1.392  0.00440432
         224     1.35453     1.39184  0.00438783
         225     1.32129     1.39152  0.00437952
         226      1.4069     1.39159  0.00436067
         227     1.39916     1.39162  0.00434158
         228     1.43576     1.39182  0.00432686
         229     1.39806     1.39184  0.00430805
         230     1.36508     1.39173  0.00429089
         231     1.29712     1.39132  0.00429181
         232     1.43214     1.39149  0.00427692
         233     1.32417      1.3912  0.00426831
         234     1.40392     1.39126  0.00425042
         235     1.40013      1.3913   0.0042325
         236     1.36039     1.39117  0.00421659
         237     1.34453     1.39097  0.00420339
         238     1.33745     1.39074  0.00419174
         239     1.51067     1.39125  0.00420412
         240     1.44672     1.39148  0.00419296
         241      1.3324     1.39123  0.00418272
         242     1.37154     1.39115  0.00416622
         243     1.41946     1.39127  0.00415071
         244     1.39355     1.39128  0.00413371
         245     1.33125     1.39103  0.00412409
         246     1.42153     1.39116  0.00410919
         247     1.43041     1.39131  0.00409562
         248     1.37674     1.39126  0.00407953
         249     1.45984     1.39153  0.00407244
         250     1.44463     1.39174  0.00406168
