#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.68812     1.68812           0
           2     1.69274     1.69043  0.00163373
           3     1.70804      1.6963  0.00491538
           4     1.68532     1.69355  0.00438611
           5     1.70678      1.6962  0.00423231
           6     1.66898     1.69166   0.0054399
           7     1.68396     1.69056  0.00477271
           8     1.69608     1.69125  0.00422567
           9     1.70329     1.69259   0.0039621
          10     1.68331     1.69166  0.00367305
          11     1.67443      1.6901  0.00365805
          12      1.6872     1.68985  0.00336118
          13     1.68735     1.68966  0.00310815
          14     1.69186     1.68982   0.0028901
          15     1.68721     1.68964  0.00270264
          16     1.67324     1.68862  0.00272128
          17     1.69049     1.68873  0.00256343
          18     1.70232     1.68948  0.00252981
          19     1.67451      1.6887  0.00251639
          20     1.68467     1.68849  0.00239863
