#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504787   -0.504787           0
           2   -0.504058   -0.504423 0.000257811
           3   -0.504573   -0.504473 0.000176694
           4   -0.504369   -0.504447  0.00013442
           5   -0.504552   -0.504468 0.000109158
           6   -0.504517   -0.504476 9.12702e-05
           7   -0.504424   -0.504468 7.85372e-05
           8   -0.503807   -0.504386 0.000103444
           9   -0.504397   -0.504387 9.19578e-05
          10   -0.505416    -0.50449 0.000128005
          11   -0.504477   -0.504489 0.000116374
          12   -0.505244   -0.504552 0.000122515
          13     -0.5044    -0.50454 0.000113649
          14    -0.50488   -0.504564 0.000108088
          15    -0.50494   -0.504589 0.000103737
          16   -0.505467   -0.504644 0.000110817
          17   -0.503879   -0.504599 0.000113067
          18   -0.504919   -0.504617  0.00010817
          19   -0.504714   -0.504622 0.000102597
          20   -0.504833   -0.504633 9.80085e-05
