#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.230375    0.230375           0
           2    0.229307    0.229841 0.000377637
           3    0.230417    0.230033 0.000296518
           4    0.229707    0.229952 0.000233326
           5    0.230408    0.230043 0.000203773
           6    0.229297    0.229919  0.00020424
           7    0.228268    0.229683 0.000279814
           8    0.229054    0.229604 0.000255644
           9    0.229735    0.229619 0.000227652
          10    0.230775    0.229734 0.000232389
          11     0.22884    0.229653 0.000225034
          12    0.229373     0.22963  0.00020749
          13    0.227954    0.229501 0.000228063
          14    0.231088    0.229614  0.00023828
          15    0.230907      0.2297 0.000237476
          16    0.229339    0.229678 0.000223704
          17    0.229735    0.229681  0.00021057
          18     0.22961    0.229677 0.000198909
          19    0.231898    0.229794 0.000220124
          20    0.228725    0.229741 0.000215508
