# T        Average         Error          
0.5        -0.974123       0.000229544    
0.6        -0.935343       0.000257906    
0.7        -0.891998       0.000148295    
0.8        -0.848368       0.000134812    
0.9        -0.804551       0.000160221    
1.0        -0.761692       0.0001132      
1.1        -0.720713       0.000125558    
1.2        -0.682223       0.000130239    
1.3        -0.646378       8.96358e-05    
1.4        -0.613212       9.00167e-05    
1.5        -0.582724       7.48498e-05    
1.6        -0.55454        7.42437e-05    
1.7        -0.528558       9.19044e-05    
1.8        -0.504697       7.38731e-05    
1.9        -0.482557       6.02115e-05    
2.0        -0.46211        6.47776e-05    
