# T        Average         Error          
0.5        79.0558         0.213648       
0.6        44.4609         0.188885       
0.7        24.6181         0.0856715      
0.8        15.1797         0.0418353      
0.9        10.2823         0.0304598      
1.0        7.40098         0.0125696      
1.1        5.6103          0.0105796      
1.2        4.41285         0.00856049     
1.3        3.5785          0.00441145     
1.4        2.97158         0.00487057     
1.5        2.52811         0.00267671     
1.6        2.17971         0.00392061     
1.7        1.90487         0.00204932     
1.8        1.69058         0.00176333     
1.9        1.50871         0.00199792     
2.0        1.36039         0.00126094     
