# T        Average         Error          
0.5        0.891499        0.00247237     
0.6        0.672546        0.00442054     
0.7        0.444999        0.00331272     
0.8        0.290032        0.0020658      
0.9        0.199865        0.00118409     
1.0        0.146222        0.00125232     
1.1        0.111004        0.000682857    
1.2        0.0881064       0.000629506    
1.3        0.0708854       0.000648583    
1.4        0.0587054       0.000438647    
1.5        0.0511093       0.000412248    
1.6        0.0439119       0.000378213    
1.7        0.0381604       0.000366761    
1.8        0.0339216       0.000283897    
1.9        0.0301913       0.000307208    
2.0        0.0272724       0.000235532    
