# T        Average         Error          
0.5        0.32923         0.00189307     
0.6        0.423293        0.000883982    
0.7        0.431643        0.00113579     
0.8        0.439302        0.000816149    
0.9        0.436366        0.000619339    
1.0        0.420562        0.00043536     
1.1        0.397423        0.000492832    
1.2        0.370983        0.000375777    
1.3        0.345108        0.000322936    
1.4        0.31783         0.000246084    
1.5        0.293368        0.000199737    
1.6        0.270514        0.000207478    
1.7        0.248965        0.000172382    
1.8        0.229824        0.000190619    
1.9        0.212304        0.000136914    
2.0        0.196657        0.000110643    
