#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         166      1.5973     1.59588 9.44612e-05
         167     1.59738     1.59589 9.43226e-05
         168     1.59745      1.5959 9.42223e-05
         169     1.59754     1.59591 9.41662e-05
         170     1.59763     1.59592 9.41557e-05
         171     1.59771     1.59593 9.41889e-05
         172     1.59779     1.59594 9.42647e-05
         173     1.59788     1.59595 9.43895e-05
         174     1.59797     1.59596 9.45594e-05
         175     1.59805     1.59597  9.4773e-05
         176     1.59813     1.59598 9.50246e-05
         177     1.59821       1.596 9.53177e-05
         178     1.59829     1.59601 9.56482e-05
         179     1.59835     1.59602 9.60071e-05
         180     1.59842     1.59604 9.63898e-05
         181     1.59846     1.59605  9.6787e-05
         182      1.5985     1.59606 9.71907e-05
         183     1.59853     1.59608 9.75917e-05
         184     1.59855     1.59609 9.79807e-05
         185     1.59855      1.5961 9.83515e-05
         186     1.59854     1.59612 9.86908e-05
         187     1.59851     1.59613  9.8988e-05
         188     1.59846     1.59614 9.92362e-05
         189      1.5984     1.59615 9.94284e-05
         190     1.59832     1.59616   9.956e-05
         191     1.59823     1.59618  9.9624e-05
         192     1.59812     1.59619 9.96197e-05
         193       1.598     1.59619 9.95468e-05
         194     1.59787      1.5962  9.9406e-05
         195     1.59772     1.59621 9.92001e-05
         196     1.59758     1.59622 9.89382e-05
         197     1.59742     1.59622 9.86249e-05
         198     1.59727     1.59623 9.82678e-05
         199     1.59711     1.59623 9.78741e-05
         200     1.59696     1.59624 9.74527e-05
         201     1.59682     1.59624 9.70107e-05
         202     1.59668     1.59624 9.65551e-05
         203     1.59656     1.59624  9.6092e-05
         204     1.59645     1.59625 9.56262e-05
         205     1.59636     1.59625 9.51613e-05
         206     1.59628     1.59625 9.46995e-05
         207     1.59622     1.59625 9.42421e-05
         208     1.59618     1.59625 9.37896e-05
         209     1.59615     1.59624  9.3342e-05
         210     1.59614     1.59624 9.28988e-05
         211     1.59614     1.59624 9.24597e-05
         212     1.59616     1.59624 9.20244e-05
         213     1.59619     1.59624 9.15927e-05
         214     1.59623     1.59624 9.11647e-05
         215     1.59628     1.59624 9.07408e-05
         216     1.59633     1.59624 9.03216e-05
         217     1.59639     1.59624 8.99078e-05
         218     1.59644     1.59625 8.94999e-05
         219     1.59649     1.59625 8.90983e-05
         220     1.59654     1.59625 8.87032e-05
         221     1.59658     1.59625 8.83147e-05
         222     1.59662     1.59625 8.79329e-05
         223     1.59665     1.59625 8.75566e-05
         224     1.59667     1.59625 8.71855e-05
         225     1.59668     1.59626 8.68182e-05
         226     1.59667     1.59626 8.64533e-05
         227     1.59665     1.59626 8.60897e-05
         228     1.59662     1.59626 8.57268e-05
         229     1.59658     1.59626 8.53638e-05
         230     1.59653     1.59626 8.50008e-05
         231     1.59647     1.59627 8.46375e-05
         232      1.5964     1.59627 8.42745e-05
         233     1.59633     1.59627 8.39132e-05
         234     1.59625     1.59627 8.35547e-05
         235     1.59617     1.59627 8.32002e-05
         236     1.59608     1.59626 8.28513e-05
         237       1.596     1.59626  8.2509e-05
         238     1.59593     1.59626 8.21746e-05
         239     1.59585     1.59626 8.18487e-05
         240     1.59579     1.59626 8.15316e-05
         241     1.59573     1.59626 8.12232e-05
         242     1.59567     1.59625 8.09233e-05
         243     1.59563     1.59625 8.06313e-05
         244     1.59559     1.59625 8.03465e-05
         245     1.59556     1.59625 8.00676e-05
         246     1.59554     1.59624  7.9793e-05
         247     1.59553     1.59624 7.95216e-05
         248     1.59554     1.59624 7.92513e-05
         249     1.59555     1.59623 7.89815e-05
         250     1.59557     1.59623 7.87105e-05
         251      1.5956     1.59623 7.84373e-05
         252     1.59564     1.59623 7.81611e-05
         253     1.59568     1.59622 7.78819e-05
         254     1.59573     1.59622 7.75999e-05
         255     1.59578     1.59622 7.73147e-05
         256     1.59584     1.59622 7.70269e-05
         257     1.59591     1.59622 7.67369e-05
         258     1.59597     1.59622 7.64457e-05
         259     1.59603     1.59622 7.61541e-05
         260     1.59609     1.59622 7.58627e-05
         261     1.59615     1.59622 7.55724e-05
         262     1.59621     1.59622  7.5284e-05
         263     1.59627     1.59622  7.4998e-05
         264     1.59633     1.59622 7.47151e-05
         265     1.59638     1.59622 7.44356e-05
         266     1.59643     1.59622   7.416e-05
         267     1.59648     1.59622 7.38886e-05
         268     1.59652     1.59622 7.36215e-05
         269     1.59656     1.59622 7.33588e-05
         270      1.5966     1.59622 7.31003e-05
         271     1.59663     1.59622 7.28462e-05
         272     1.59666     1.59623 7.25962e-05
         273     1.59669     1.59623 7.23503e-05
         274     1.59671     1.59623  7.2108e-05
         275     1.59673     1.59623 7.18684e-05
         276     1.59674     1.59623 7.16319e-05
         277     1.59676     1.59623 7.13981e-05
         278     1.59676     1.59624 7.11667e-05
         279     1.59677     1.59624 7.09376e-05
         280     1.59678     1.59624 7.07105e-05
         281     1.59678     1.59624 7.04847e-05
         282     1.59678     1.59624 7.02602e-05
         283     1.59677     1.59625 7.00363e-05
         284     1.59676     1.59625 6.98133e-05
         285     1.59676     1.59625 6.95911e-05
         286     1.59674     1.59625 6.93692e-05
         287     1.59673     1.59625 6.91473e-05
         288     1.59671     1.59625 6.89256e-05
         289     1.59669     1.59626 6.87036e-05
         290     1.59667     1.59626 6.84815e-05
         291     1.59665     1.59626 6.82593e-05
         292     1.59663     1.59626 6.80373e-05
         293     1.59661     1.59626 6.78154e-05
         294     1.59659     1.59626 6.75937e-05
         295     1.59657     1.59626 6.73725e-05
         296     1.59655     1.59626 6.71517e-05
         297     1.59653     1.59627 6.69313e-05
         298      1.5965     1.59627 6.67114e-05
         299     1.59648     1.59627 6.64923e-05
         300     1.59646     1.59627 6.62737e-05
         301     1.59644     1.59627  6.6056e-05
         302     1.59642     1.59627 6.58391e-05
         303      1.5964     1.59627 6.56232e-05
         304     1.59638     1.59627 6.54084e-05
         305     1.59637     1.59627 6.51947e-05
         306     1.59635     1.59627 6.49822e-05
         307     1.59633     1.59627 6.47708e-05
         308     1.59632     1.59627 6.45607e-05
         309     1.59631     1.59627 6.43519e-05
         310      1.5963     1.59627 6.41444e-05
         311     1.59629     1.59627 6.39382e-05
         312     1.59628     1.59627 6.37333e-05
         313     1.59628     1.59627 6.35296e-05
         314     1.59627     1.59627 6.33273e-05
         315     1.59626     1.59627 6.31263e-05
         316     1.59626     1.59627 6.29265e-05
         317     1.59626     1.59627  6.2728e-05
         318     1.59627     1.59627 6.25308e-05
         319     1.59627     1.59627 6.23348e-05
         320     1.59628     1.59627   6.214e-05
         321     1.59629     1.59627 6.19464e-05
         322     1.59631     1.59627 6.17541e-05
         323     1.59632     1.59627 6.15632e-05
         324     1.59634     1.59627 6.13735e-05
         325     1.59635     1.59627 6.11852e-05
         326     1.59637     1.59627 6.09983e-05
         327     1.59639     1.59627 6.08129e-05
         328     1.59642     1.59627 6.06291e-05
         329     1.59644     1.59627 6.04471e-05
         330     1.59646     1.59627 6.02667e-05
         331     1.59649     1.59627 6.00882e-05
         332     1.59652     1.59628 5.99119e-05
         333     1.59655     1.59628 5.97376e-05
         334     1.59658     1.59628 5.95658e-05
         335     1.59661     1.59628 5.93961e-05
         336     1.59664     1.59628 5.92289e-05
         337     1.59667     1.59628 5.90644e-05
         338     1.59671     1.59628  5.8903e-05
         339     1.59673     1.59628 5.87444e-05
         340     1.59677     1.59628  5.8589e-05
         341      1.5968     1.59629 5.84366e-05
         342     1.59683     1.59629 5.82874e-05
         343     1.59686     1.59629 5.81414e-05
         344     1.59689     1.59629 5.79983e-05
         345     1.59691     1.59629 5.78584e-05
         346     1.59694     1.59629 5.77218e-05
         347     1.59697      1.5963 5.75881e-05
         348     1.59699      1.5963 5.74572e-05
         349     1.59702      1.5963 5.73294e-05
         350     1.59704      1.5963 5.72042e-05
         351     1.59706      1.5963 5.70816e-05
         352     1.59708     1.59631 5.69614e-05
         353     1.59709     1.59631  5.6843e-05
         354     1.59711     1.59631 5.67271e-05
         355     1.59711     1.59631 5.66122e-05
         356     1.59712     1.59632 5.64988e-05
         357     1.59712     1.59632 5.63859e-05
         358     1.59713     1.59632 5.62736e-05
         359     1.59713     1.59632 5.61617e-05
         360     1.59712     1.59632 5.60497e-05
         361     1.59712     1.59633 5.59376e-05
         362     1.59711     1.59633 5.58247e-05
         363      1.5971     1.59633 5.57108e-05
         364     1.59708     1.59633 5.55953e-05
         365     1.59706     1.59634 5.54784e-05
         366     1.59703     1.59634 5.53596e-05
         367       1.597     1.59634 5.52381e-05
         368     1.59697     1.59634 5.51143e-05
         369     1.59693     1.59634 5.49877e-05
         370     1.59688     1.59634 5.48584e-05
         371     1.59683     1.59635 5.47265e-05
         372     1.59678     1.59635 5.45918e-05
         373     1.59672     1.59635 5.44546e-05
         374     1.59666     1.59635 5.43152e-05
         375     1.59659     1.59635 5.41742e-05
         376     1.59652     1.59635  5.4032e-05
         377     1.59644     1.59635 5.38893e-05
         378     1.59637     1.59635 5.37467e-05
         379     1.59628     1.59635 5.36052e-05
         380      1.5962     1.59635 5.34657e-05
         381     1.59611     1.59635  5.3329e-05
         382     1.59602     1.59635 5.31962e-05
         383     1.59593     1.59635 5.30682e-05
         384     1.59585     1.59635 5.29461e-05
         385     1.59576     1.59634 5.28306e-05
         386     1.59567     1.59634 5.27226e-05
         387     1.59559     1.59634 5.26225e-05
         388      1.5955     1.59634 5.25312e-05
         389     1.59542     1.59634 5.24487e-05
         390     1.59535     1.59633 5.23753e-05
         391     1.59528     1.59633 5.23109e-05
         392     1.59521     1.59633 5.22557e-05
         393     1.59514     1.59632 5.22098e-05
         394     1.59508     1.59632 5.21733e-05
         395     1.59502     1.59632 5.21445e-05
         396     1.59498     1.59631 5.21223e-05
         397     1.59494     1.59631 5.21064e-05
         398      1.5949     1.59631 5.20954e-05
         399     1.59487      1.5963 5.20886e-05
         400     1.59485      1.5963 5.20844e-05
         401     1.59484      1.5963 5.20817e-05
         402     1.59483     1.59629 5.20793e-05
         403     1.59483     1.59629  5.2077e-05
         404     1.59483     1.59629 5.20724e-05
         405     1.59485     1.59628 5.20646e-05
         406     1.59487     1.59628 5.20533e-05
         407     1.59489     1.59628 5.20375e-05
         408     1.59491     1.59627 5.20171e-05
         409     1.59495     1.59627 5.19909e-05
         410     1.59497     1.59627 5.19598e-05
         411     1.59501     1.59626 5.19224e-05
         412     1.59506     1.59626 5.18787e-05
         413      1.5951     1.59626 5.18284e-05
         414     1.59515     1.59625 5.17721e-05
         415      1.5952     1.59625 5.17091e-05
         416     1.59526     1.59625 5.16398e-05
         417     1.59532     1.59625 5.15643e-05
         418     1.59537     1.59624 5.14836e-05
         419     1.59543     1.59624 5.13977e-05
         420     1.59549     1.59624 5.13069e-05
         421     1.59554     1.59624 5.12118e-05
         422      1.5956     1.59624 5.11129e-05
         423     1.59566     1.59624 5.10106e-05
         424     1.59571     1.59624 5.09054e-05
         425     1.59577     1.59623 5.07973e-05
         426     1.59583     1.59623  5.0687e-05
         427     1.59588     1.59623  5.0575e-05
         428     1.59593     1.59623 5.04617e-05
         429     1.59599     1.59623 5.03472e-05
         430     1.59604     1.59623  5.0232e-05
         431     1.59609     1.59623 5.01165e-05
         432     1.59614     1.59623 5.00009e-05
         433     1.59619     1.59623 4.98855e-05
         434     1.59623     1.59623 4.97706e-05
         435     1.59627     1.59623 4.96562e-05
         436     1.59632     1.59623 4.95427e-05
         437     1.59636     1.59623 4.94302e-05
         438     1.59639     1.59623 4.93187e-05
         439     1.59643     1.59623 4.92086e-05
         440     1.59646     1.59623 4.90995e-05
         441      1.5965     1.59623 4.89918e-05
         442     1.59653     1.59623 4.88856e-05
         443     1.59656     1.59623 4.87807e-05
         444     1.59658     1.59623 4.86773e-05
         445     1.59661     1.59624 4.85751e-05
         446     1.59663     1.59624 4.84744e-05
         447     1.59665     1.59624 4.83748e-05
         448     1.59667     1.59624 4.82764e-05
         449     1.59669     1.59624 4.81793e-05
         450     1.59671     1.59624 4.80834e-05
         451     1.59672     1.59624 4.79886e-05
         452     1.59674     1.59624  4.7895e-05
         453     1.59675     1.59624 4.78023e-05
         454     1.59676     1.59624 4.77107e-05
