#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.96131     1.93004   0.0034739
         169     1.96031     1.93022  0.00345796
         170     1.95921     1.93039  0.00344182
         171     1.95804     1.93056  0.00342549
         172     1.95678     1.93071  0.00340896
         173     1.95543     1.93085  0.00339225
         174     1.95399     1.93098  0.00337536
         175     1.95247     1.93111  0.00335831
         176     1.95087     1.93122   0.0033411
         177     1.94918     1.93132  0.00332377
         178     1.94742     1.93141  0.00330633
         179     1.94559     1.93149   0.0032888
         180     1.94369     1.93156  0.00327123
         181     1.94173     1.93161  0.00325364
         182     1.93972     1.93166  0.00323607
         183     1.93768     1.93169  0.00321855
         184      1.9356     1.93171  0.00320113
         185     1.93352     1.93172  0.00318384
         186     1.93143     1.93172  0.00316672
         187     1.92936     1.93171  0.00314981
         188     1.92732     1.93169  0.00313315
         189     1.92532     1.93165  0.00311675
         190     1.92339     1.93161  0.00310065
         191     1.92153     1.93156  0.00308486
         192     1.91977     1.93149  0.00306941
         193     1.91812     1.93142  0.00305429
         194     1.91659     1.93135   0.0030395
         195     1.91519     1.93127  0.00302504
         196     1.91393     1.93118   0.0030109
         197     1.91283     1.93108  0.00299706
         198     1.91187     1.93099  0.00298349
         199     1.91107     1.93089  0.00297018
         200     1.91042     1.93078  0.00295709
         201     1.90993     1.93068  0.00294419
         202     1.90957     1.93058  0.00293147
         203     1.90935     1.93047   0.0029189
         204     1.90924     1.93037  0.00290644
         205     1.90925     1.93026  0.00289409
         206     1.90935     1.93016  0.00288182
         207     1.90952     1.93006  0.00286963
         208     1.90975     1.92997  0.00285749
         209     1.91002     1.92987  0.00284541
         210     1.91032     1.92978  0.00283338
         211     1.91063     1.92969  0.00282141
         212     1.91094      1.9296  0.00280948
         213     1.91123     1.92951  0.00279762
         214     1.91148     1.92943  0.00278581
         215      1.9117     1.92935  0.00277407
         216     1.91188     1.92926  0.00276241
         217       1.912     1.92918  0.00275083
         218     1.91207     1.92911  0.00273933
         219     1.91208     1.92903  0.00272792
         220     1.91204     1.92895  0.00271662
         221     1.91196     1.92887  0.00270541
         222     1.91183      1.9288  0.00269431
         223     1.91167     1.92872  0.00268333
         224     1.91148     1.92864  0.00267245
         225     1.91128     1.92857  0.00266169
         226     1.91107     1.92849  0.00265104
         227     1.91087     1.92841  0.00264049
         228     1.91068     1.92833  0.00263006
         229     1.91053     1.92826  0.00261972
         230     1.91042     1.92818  0.00260948
         231     1.91035      1.9281  0.00259932
         232     1.91035     1.92802  0.00258925
         233     1.91042     1.92795  0.00257923
         234     1.91056     1.92787  0.00256928
         235     1.91078      1.9278  0.00255938
         236     1.91108     1.92773  0.00254951
         237     1.91146     1.92766  0.00253968
         238     1.91193      1.9276  0.00252987
         239     1.91247     1.92753  0.00252008
         240     1.91308     1.92747   0.0025103
         241     1.91377     1.92742  0.00250052
         242     1.91451     1.92736  0.00249076
         243     1.91531     1.92731    0.002481
         244     1.91615     1.92727  0.00247126
         245     1.91702     1.92723  0.00246153
         246     1.91792     1.92719  0.00245181
         247     1.91884     1.92715  0.00244212
         248     1.91976     1.92712  0.00243245
         249     1.92067      1.9271  0.00242282
         250     1.92157     1.92708  0.00241323
         251     1.92245     1.92706  0.00240369
         252      1.9233     1.92704  0.00239419
         253     1.92411     1.92703  0.00238476
         254     1.92487     1.92702  0.00237539
         255     1.92559     1.92702  0.00236608
         256     1.92626     1.92701  0.00235684
         257     1.92687     1.92701  0.00234767
         258     1.92742     1.92702  0.00233857
         259     1.92791     1.92702  0.00232954
         260     1.92833     1.92702  0.00232059
         261      1.9287     1.92703   0.0023117
         262       1.929     1.92704  0.00230289
         263     1.92924     1.92705  0.00229415
         264     1.92943     1.92706  0.00228548
         265     1.92956     1.92706  0.00227687
         266     1.92963     1.92707  0.00226833
         267     1.92965     1.92708  0.00225986
         268     1.92962     1.92709  0.00225145
         269     1.92955      1.9271   0.0022431
         270     1.92944     1.92711   0.0022348
         271     1.92929     1.92712  0.00222657
         272      1.9291     1.92713   0.0022184
         273     1.92888     1.92713  0.00221028
         274     1.92864     1.92714  0.00220222
         275     1.92837     1.92714  0.00219422
         276     1.92809     1.92715  0.00218627
         277     1.92778     1.92715  0.00217838
         278     1.92747     1.92715  0.00217054
         279     1.92714     1.92715  0.00216276
         280     1.92681     1.92715  0.00215504
         281     1.92648     1.92715  0.00214737
         282     1.92615     1.92714  0.00213976
         283     1.92582     1.92714  0.00213221
         284      1.9255     1.92713  0.00212471
         285     1.92518     1.92713  0.00211726
         286     1.92487     1.92712  0.00210987
         287     1.92458     1.92711  0.00210254
         288      1.9243      1.9271  0.00209526
         289     1.92403     1.92709  0.00208804
         290     1.92379     1.92708  0.00208087
         291     1.92356     1.92706  0.00207375
         292     1.92334     1.92705  0.00206669
         293     1.92315     1.92704  0.00205968
         294     1.92298     1.92702  0.00205272
         295     1.92284     1.92701  0.00204581
         296     1.92271       1.927  0.00203895
         297     1.92261     1.92698  0.00203214
         298     1.92252     1.92697  0.00202538
         299     1.92246     1.92695  0.00201866
         300     1.92243     1.92694  0.00201199
         301     1.92241     1.92692  0.00200536
         302     1.92241     1.92691  0.00199877
         303     1.92244     1.92689  0.00199223
         304     1.92248     1.92688  0.00198573
         305     1.92254     1.92686  0.00197927
         306     1.92262     1.92685  0.00197285
         307     1.92272     1.92684  0.00196647
         308     1.92283     1.92682  0.00196013
         309     1.92296     1.92681  0.00195382
         310     1.92309      1.9268  0.00194756
         311     1.92324     1.92679  0.00194133
         312      1.9234     1.92678  0.00193514
         313     1.92356     1.92677  0.00192898
         314     1.92373     1.92676  0.00192286
         315      1.9239     1.92675  0.00191678
         316     1.92408     1.92674  0.00191073
         317     1.92425     1.92673  0.00190472
         318     1.92443     1.92672  0.00189875
         319     1.92459     1.92672  0.00189281
         320     1.92475     1.92671   0.0018869
         321     1.92491      1.9267  0.00188103
         322     1.92505      1.9267   0.0018752
         323     1.92518     1.92669   0.0018694
         324     1.92529     1.92669  0.00186363
         325     1.92539     1.92669   0.0018579
         326     1.92547     1.92668  0.00185221
         327     1.92554     1.92668  0.00184655
         328     1.92558     1.92668  0.00184092
         329     1.92559     1.92667  0.00183533
         330     1.92558     1.92667  0.00182977
         331     1.92555     1.92667  0.00182424
         332     1.92548     1.92666  0.00181875
         333     1.92539     1.92666  0.00181329
         334     1.92527     1.92665  0.00180787
         335     1.92512     1.92665  0.00180248
         336     1.92494     1.92664  0.00179712
         337     1.92473     1.92664   0.0017918
         338     1.92449     1.92663  0.00178651
         339     1.92421     1.92663  0.00178125
         340      1.9239     1.92662  0.00177603
         341     1.92356     1.92661  0.00177085
         342     1.92319      1.9266   0.0017657
         343     1.92279     1.92659  0.00176058
         344     1.92236     1.92658  0.00175551
         345      1.9219     1.92656  0.00175047
         346     1.92141     1.92655  0.00174548
         347      1.9209     1.92653  0.00174052
         348     1.92036     1.92651  0.00173561
         349      1.9198     1.92649  0.00173074
         350     1.91921     1.92647  0.00172592
         351      1.9186     1.92645  0.00172115
         352     1.91797     1.92643  0.00171643
         353     1.91733      1.9264  0.00171176
         354     1.91667     1.92637  0.00170715
         355       1.916     1.92634  0.00170259
         356     1.91532     1.92631  0.00169809
         357     1.91464     1.92628  0.00169365
         358     1.91394     1.92625  0.00168927
         359     1.91325     1.92621  0.00168495
         360     1.91256     1.92617  0.00168069
         361     1.91187     1.92613  0.00167651
         362     1.91119     1.92609  0.00167238
         363     1.91053     1.92605  0.00166832
         364     1.90987       1.926  0.00166433
         365     1.90924     1.92596  0.00166041
         366     1.90863     1.92591  0.00165654
         367     1.90805     1.92586  0.00165274
         368      1.9075     1.92581  0.00164901
         369     1.90699     1.92576  0.00164533
         370     1.90652     1.92571   0.0016417
         371     1.90609     1.92566  0.00163813
         372     1.90571      1.9256   0.0016346
         373     1.90539     1.92555  0.00163112
         374     1.90512     1.92549  0.00162767
         375     1.90492     1.92544  0.00162425
         376     1.90478     1.92538  0.00162086
         377     1.90472     1.92533  0.00161749
         378     1.90473     1.92527  0.00161413
         379     1.90482     1.92522  0.00161077
