# T        Average         Error          
0.5        44.5749         0.123618       
0.6        33.6273         0.221027       
0.7        22.25           0.165636       
0.8        14.5016         0.10329        
0.9        9.99326         0.0592047      
1.0        7.3111          0.0626161      
1.1        5.55019         0.0341428      
1.2        4.40532         0.0314753      
1.3        3.54427         0.0324291      
1.4        2.93527         0.0219324      
1.5        2.55546         0.0206124      
1.6        2.19559         0.0189107      
1.7        1.90802         0.018338       
1.8        1.69608         0.0141948      
1.9        1.50957         0.0153604      
2.0        1.36362         0.0117766      
