# T        Average         Error          
0.5        3.7262          0.00171853     
0.6        2.38988         0.00130928     
0.7        1.59978         0.000527772    
0.8        1.11069         0.000352888    
0.9        0.791709        0.000314603    
1.0        0.576814        0.00016631     
1.1        0.428483        0.000145042    
1.2        0.324021        0.000120606    
1.3        0.249042        6.65938e-05    
1.4        0.194244        5.61045e-05    
1.5        0.15365         3.7975e-05     
1.6        0.123023        3.261e-05      
1.7        0.0996155       3.32721e-05    
1.8        0.0815492       2.41442e-05    
1.9        0.0673755       1.65147e-05    
2.0        0.0561733       1.49772e-05    
