# T        Average         Error          
0.5        -0.973944       0.00037815     
0.6        -0.935193       0.000313807    
0.7        -0.892201       0.000196625    
0.8        -0.848328       0.000138718    
0.9        -0.804254       8.66524e-05    
1.0        -0.761634       0.000139111    
1.1        -0.720603       0.000121876    
1.2        -0.681997       0.000105672    
1.3        -0.646315       0.000129064    
1.4        -0.613315       0.000125374    
1.5        -0.582633       9.5817e-05     
1.6        -0.554616       0.000136183    
1.7        -0.528658       0.00011451     
1.8        -0.504633       9.80085e-05    
1.9        -0.482576       7.96745e-05    
2.0        -0.462229       6.83007e-05    
