#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.249704    0.249704           0
           2    0.248198    0.248951 0.000532533
           3    0.249642    0.249181 0.000401748
           4    0.248741    0.249071  0.00031601
           5    0.249907    0.249238 0.000293713
           6    0.250082    0.249379 0.000276406
           7     0.24769    0.249138 0.000325608
           8      0.2492    0.249145    0.000285
           9    0.249971    0.249237 0.000267699
          10    0.249109    0.249224 0.000241239
          11    0.250316    0.249324 0.000238837
          12    0.249538    0.249341   0.0002196
          13    0.249335    0.249341 0.000202708
          14    0.251572      0.2495 0.000242933
          15    0.251173    0.249612 0.000251028
          16    0.249123    0.249581 0.000237189
          17    0.250778    0.249652 0.000233449
          18    0.249127    0.249622 0.000222291
          19     0.24989    0.249637 0.000211036
          20    0.247596    0.249535 0.000223799
