#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.89589     1.89589           0
           2     1.88635     1.89112  0.00337315
           3     1.92444     1.90223  0.00934297
           4     1.90905     1.90393  0.00716098
           5     1.91008     1.90516  0.00583321
           6     1.90156     1.90456  0.00489172
           7     1.90241     1.90425  0.00420255
           8     1.91277     1.90532  0.00380978
           9     1.90612     1.90541  0.00338751
          10     1.90255     1.90512  0.00306081
          11     1.90176     1.90482  0.00279775
          12     1.89101     1.90367  0.00279106
          13     1.90845     1.90403  0.00260047
          14     1.90888     1.90438  0.00243769
          15     1.91648     1.90519  0.00240503
          16      1.9258     1.90648  0.00257665
          17     1.88994      1.9055  0.00260227
          18     1.91306     1.90592  0.00249137
          19     1.92426     1.90689  0.00254038
          20     1.90799     1.90694  0.00241395
