#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529078   -0.529078           0
           2   -0.527453   -0.528266 0.000574454
           3   -0.529163   -0.528565 0.000454194
           4   -0.528663   -0.528589 0.000341313
           5   -0.528253   -0.528522 0.000279591
           6   -0.528972   -0.528597 0.000242858
           7   -0.528863   -0.528635 0.000211108
           8   -0.528125   -0.528571 0.000194117
           9   -0.528122   -0.528521 0.000178864
          10   -0.529502   -0.528619 0.000185947
          11   -0.528486   -0.528607 0.000169438
          12   -0.528978   -0.528638 0.000158103
          13   -0.528084   -0.528596 0.000151587
          14   -0.528474   -0.528587 0.000141009
          15   -0.528849   -0.528604 0.000132686
          16   -0.528896   -0.528623  0.00012564
          17     -0.5279    -0.52858 0.000125231
          18   -0.528964   -0.528601 0.000120081
          19    -0.52914    -0.52863  0.00011706
          20    -0.52919   -0.528658  0.00011451
