#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.67893     1.67893           0
           2     1.69118     1.68506  0.00433166
           3     1.68993     1.68668  0.00317731
           4     1.70593     1.69149  0.00480141
           5      1.6942     1.69203  0.00387146
           6     1.69851     1.69311  0.00337343
           7     1.68695     1.69223  0.00300411
           8      1.6978     1.69293   0.0027079
           9     1.69848     1.69355  0.00247627
          10     1.69013      1.6932  0.00225211
          11     1.69042     1.69295  0.00206151
          12     1.68747     1.69249  0.00193959
          13     1.68224     1.69171  0.00194414
          14     1.67227     1.69032  0.00224693
          15     1.68115     1.68971  0.00217872
          16     1.68716     1.68955  0.00204835
          17     1.70116     1.69023  0.00203862
          18     1.68975      1.6902  0.00192554
          19     1.69688     1.69056  0.00185599
          20       1.691     1.69058  0.00176333
