#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504558   -0.504558           0
           2   -0.504792   -0.504675 8.30143e-05
           3   -0.504083   -0.504478  0.00017031
           4   -0.505406    -0.50471 0.000238132
           5   -0.504537   -0.504675 0.000193003
           6   -0.505279   -0.504776 0.000185207
           7   -0.504711   -0.504767 0.000158982
           8   -0.505106   -0.504809 0.000144662
           9    -0.50463   -0.504789 0.000129941
          10   -0.504821   -0.504792 0.000116987
          11   -0.504887   -0.504801 0.000106667
          12   -0.504867   -0.504806 9.79189e-05
          13   -0.504357   -0.504772 9.63008e-05
          14    -0.50442   -0.504747  9.2643e-05
          15   -0.504761   -0.504748 8.64718e-05
          16   -0.504639   -0.504741 8.13326e-05
          17   -0.504373   -0.504719 7.93719e-05
          18   -0.504152   -0.504688 8.09689e-05
          19   -0.504926     -0.5047 7.76755e-05
          20   -0.504629   -0.504697 7.38731e-05
