#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.228986    0.228986           0
           2    0.229243    0.229114 9.11198e-05
           3    0.229298    0.229176 7.86891e-05
           4    0.230493    0.229505 0.000291331
           5    0.229681     0.22954 0.000235175
           6    0.230585    0.229714 0.000252334
           7      0.2316    0.229984 0.000330111
           8    0.228634    0.229815 0.000329128
           9    0.229443    0.229774 0.000295145
          10    0.230808    0.229877 0.000283186
          11    0.230998    0.229979 0.000275165
          12    0.230712     0.23004 0.000258928
          13    0.229845    0.230025 0.000239444
          14    0.229671        0.23 0.000223671
          15     0.22933    0.229955 0.000213167
          16    0.228438     0.22986 0.000219936
          17    0.228725    0.229794 0.000216906
          18    0.229892    0.229799 0.000204924
          19    0.230687    0.229846 0.000199398
          20    0.229409    0.229824 0.000190619
