#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.396244    0.396244           0
           2    0.400081    0.398163  0.00135668
           3    0.398393    0.398239 0.000906622
           4    0.396175    0.397723 0.000813746
           5    0.396401    0.397459  0.00069262
           6    0.400932    0.398038 0.000782503
           7    0.398272    0.398071 0.000671434
           8    0.398036    0.398067 0.000587519
           9    0.393949    0.397609 0.000677374
          10    0.399573    0.397806 0.000637454
          11    0.399981    0.398003 0.000609414
          12    0.401275    0.398276  0.00061659
          13    0.397135    0.398188 0.000575373
          14    0.394878    0.397952 0.000580837
          15    0.396091    0.397828 0.000555206
          16    0.394553    0.397623 0.000556962
          17    0.395597    0.397504 0.000536801
          18    0.397416    0.397499 0.000507001
          19    0.394205    0.397326 0.000509093
          20     0.39927    0.397423 0.000492832
