#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.62554     5.62554           0
           2     5.58144     5.60349   0.0155936
           3     5.60113     5.60271   0.0104156
           4     5.56877     5.59422   0.0107236
           5     5.59522     5.59442  0.00858076
           6     5.61212     5.59737  0.00764081
           7      5.6078     5.59886  0.00669285
           8     5.61803     5.60126   0.0062705
           9     5.58991         5.6   0.0056992
          10     5.63736     5.60373  0.00623511
          11     5.65372     5.60828  0.00713454
          12     5.74719     5.61985   0.0128692
          13     5.60276     5.61854   0.0119462
          14     5.52373     5.61177   0.0128702
          15     5.55146     5.60775   0.0126245
          16     5.65523     5.61071   0.0121793
          17     5.67049     5.61423   0.0119597
          18     5.58322     5.61251   0.0114186
          19     5.61918     5.61286    0.010823
          20     5.56172      5.6103   0.0105796
