#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.72092    -0.72092           0
           2   -0.720848   -0.720884  2.5173e-05
           3   -0.720602    -0.72079 7.86704e-05
           4   -0.720532   -0.720725 8.12299e-05
           5   -0.720221   -0.720624 0.000111224
           6   -0.720214   -0.720556  0.00011173
           7   -0.720523   -0.720551 9.58698e-05
           8   -0.720178   -0.720505 9.45881e-05
           9   -0.721661   -0.720633 0.000147472
          10   -0.720742   -0.720644 0.000133129
          11   -0.720082   -0.720593 0.000130452
          12   -0.721772   -0.720691 0.000152144
          13   -0.720813   -0.720701 0.000140728
          14   -0.720236   -0.720667 0.000134526
          15    -0.71973   -0.720605 0.000139331
          16   -0.721358   -0.720652 0.000138337
          17   -0.721338   -0.720692 0.000135951
          18   -0.720112    -0.72066 0.000132166
          19   -0.721458   -0.720702 0.000131707
          20   -0.720917   -0.720713 0.000125558
