#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.212738    0.212738           0
           2     0.21261    0.212674 4.51728e-05
           3    0.212249    0.212532 0.000119491
           4    0.212621    0.212554 9.16629e-05
           5    0.211634     0.21237 0.000180198
           6    0.212434    0.212381 0.000150477
           7    0.213257    0.212506 0.000173414
           8    0.211397    0.212367 0.000199631
           9    0.212471    0.212379 0.000177781
          10    0.212783    0.212419 0.000164529
          11    0.212482    0.212425 0.000149669
          12    0.212189    0.212405 0.000138484
          13    0.212241    0.212393 0.000128407
          14    0.212238    0.212382 0.000119707
          15    0.211271    0.212308 0.000132655
          16    0.212999    0.212351 0.000131222
          17    0.210812     0.21226 0.000151547
          18    0.212124    0.212253 0.000143316
          19    0.213196    0.212302 0.000144111
          20    0.212335    0.212304 0.000136914
