#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.50621     1.50621           0
           2     1.50884     1.50753 0.000931297
           3     1.49581     1.50362  0.00324801
           4     1.49491     1.50144  0.00308089
           5     1.51468     1.50409  0.00341812
           6     1.51004     1.50508  0.00298865
           7     1.50736     1.50541   0.0025793
           8     1.51471     1.50657  0.00250531
           9     1.51409     1.50741   0.0023623
          10      1.5235     1.50901  0.00261739
          11     1.50178     1.50836  0.00246077
          12      1.5124     1.50869  0.00227864
          13     1.50659     1.50853   0.0021091
          14     1.50157     1.50803  0.00201619
          15     1.49883     1.50742  0.00197296
          16     1.52979     1.50882  0.00229191
          17     1.49866     1.50822  0.00223371
          18     1.50383     1.50798   0.0021229
          19      1.5109     1.50813  0.00201674
          20     1.51976     1.50871  0.00199792
