#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482706   -0.482706           0
           2   -0.482624   -0.482665 2.91328e-05
           3   -0.482231    -0.48252 0.000119598
           4   -0.482724   -0.482571 9.99577e-05
           5   -0.482656   -0.482588 8.13923e-05
           6   -0.482896   -0.482639 8.23919e-05
           7   -0.482874   -0.482673 7.71586e-05
           8   -0.482691   -0.482675 6.75474e-05
           9   -0.482887   -0.482699 6.40014e-05
          10   -0.482496   -0.482678 6.07401e-05
          11    -0.48253   -0.482665 5.66975e-05
          12    -0.48231   -0.482635 5.91722e-05
          13   -0.482462   -0.482622 5.61105e-05
          14   -0.482078   -0.482583 6.41468e-05
          15      -0.483   -0.482611 6.56131e-05
          16   -0.482666   -0.482614  6.1601e-05
          17   -0.482261   -0.482594 6.13812e-05
          18   -0.482028   -0.482562 6.55328e-05
          19   -0.482672   -0.482568 6.23381e-05
          20   -0.482345   -0.482557 6.02115e-05
