#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.4075     10.4075           0
           2     10.4173     10.4124  0.00345178
           3     10.0408     10.2885    0.101162
           4     10.2358     10.2753   0.0767251
           5     10.2749     10.2752   0.0613801
           6     10.1908     10.2612   0.0527404
           7     10.3513      10.274   0.0467506
           8     10.1756     10.2617   0.0424936
           9     10.5845     10.2976   0.0506916
          10     10.2172     10.2896   0.0462552
          11     10.0909     10.2715   0.0454407
          12     10.2656      10.271   0.0416567
          13     10.3512     10.2772   0.0389064
          14     10.2759     10.2771   0.0361275
          15     10.0728     10.2635    0.036196
          16     10.2931     10.2653   0.0339811
          17     10.5136     10.2799    0.034981
          18     10.2007     10.2755   0.0333134
          19     10.3837     10.2812   0.0320428
          20     10.3034     10.2823   0.0304598
