#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.440347    0.440347           0
           2    0.437598    0.438972 0.000971989
           3    0.438145    0.438697 0.000685972
           4    0.438376    0.438616 0.000519156
           5    0.434524    0.437798 0.000841602
           6    0.434398    0.437231 0.000871461
           7    0.438789    0.437454 0.000774858
           8    0.432704     0.43686  0.00087647
           9    0.437491     0.43693 0.000781886
          10    0.437037    0.436941  0.00070377
          11    0.432733    0.436558 0.000736454
          12    0.430684    0.436069 0.000821833
          13    0.441511    0.436487 0.000858625
          14    0.434442    0.436341  0.00080963
          15    0.436313    0.436339 0.000755657
          16    0.437375    0.436404 0.000711193
          17    0.439108    0.436563 0.000686909
          18    0.436176    0.436542 0.000649084
          19    0.437173    0.436575 0.000615772
          20    0.432401    0.436366 0.000619339
